date,close,volume,hold
2025-07-01,470.9,1.0,1.0
2025-07-04,472.8,4.0,3.0
2025-07-10,475.0,1.0,3.0
2025-07-14,484.2,3.0,4.0
2025-07-15,476.1,2.0,4.0
2025-07-25,483.2,1.0,4.0
2025-07-28,478.8,3.0,4.0
2025-07-29,485.4,2.0,5.0
2025-07-30,496.5,1.0,5.0
2025-08-01,498.8,1.0,4.0
2025-08-06,476.3,6.0,8.0
2025-08-07,477.2,3.0,6.0
2025-08-08,472.4,4.0,7.0
2025-08-11,463.6,9.0,14.0
2025-08-12,472.0,4.0,15.0
2025-08-13,470.2,38.0,41.0
2025-08-14,472.9,10.0,49.0
2025-08-15,473.5,5.0,48.0
2025-08-18,470.2,15.0,55.0
2025-08-19,474.0,3.0,55.0
2025-08-20,475.5,7.0,54.0
2025-08-21,482.7,10.0,59.0
2025-08-22,482.2,11.0,63.0
2025-08-25,478.9,3.0,63.0
2025-08-26,482.3,1.0,64.0
2025-08-27,476.7,5.0,64.0
2025-08-29,476.0,1.0,64.0
2025-09-01,473.4,1.0,64.0
2025-09-02,482.2,1.0,64.0
2025-09-03,484.9,8.0,63.0
2025-09-04,471.5,16.0,66.0
2025-09-05,469.6,2.0,67.0
2025-09-08,471.9,23.0,76.0
2025-09-09,470.1,8.0,77.0
2025-09-10,483.6,61.0,105.0
2025-09-11,484.5,53.0,114.0
2025-09-12,475.5,8.0,113.0
2025-09-15,485.4,136.0,163.0
2025-09-16,483.5,30.0,160.0
2025-09-17,489.8,9.0,157.0
2025-09-18,483.6,7.0,156.0
2025-09-19,484.2,10.0,157.0
2025-09-22,480.2,3.0,157.0
2025-09-23,471.2,8.0,157.0
2025-09-24,480.3,6.0,155.0
2025-09-25,486.6,4.0,155.0
2025-09-26,484.9,1.0,154.0
2025-09-29,489.4,8.0,152.0
2025-09-30,477.1,6.0,149.0
2025-10-09,470.6,6.0,150.0
2025-10-10,465.0,5.0,149.0
2025-10-13,455.6,13.0,155.0
2025-10-14,452.7,11.0,156.0
2025-10-15,449.9,6.0,155.0
2025-10-16,451.3,18.0,150.0
2025-10-17,442.4,21.0,160.0
2025-10-20,445.6,6.0,157.0
2025-10-21,449.3,2.0,157.0
2025-10-22,455.0,9.0,157.0
2025-10-23,464.3,8.0,155.0
2025-10-24,467.1,111.0,216.0
2025-10-27,469.2,170.0,336.0
2025-10-28,464.0,173.0,471.0
2025-10-29,461.1,78.0,477.0
2025-10-30,460.8,7.0,476.0
2025-10-31,461.7,55.0,469.0
2025-11-03,467.8,15.0,470.0
2025-11-04,465.7,3.0,470.0
2025-11-05,465.9,13.0,469.0
2025-11-06,462.5,9.0,473.0
2025-11-07,462.4,149.0,505.0
2025-11-10,465.2,31.0,492.0
2025-11-11,464.8,290.0,513.0
2025-11-12,470.8,62.0,525.0
2025-11-13,456.8,536.0,592.0
2025-11-14,460.8,25.0,589.0
2025-11-17,462.0,7.0,586.0
2025-11-18,460.2,19.0,596.0
2025-11-19,466.2,143.0,650.0
2025-11-20,460.0,497.0,923.0
2025-11-21,454.2,244.0,1003.0
2025-11-24,454.2,324.0,1186.0
2025-11-25,454.6,193.0,1267.0
2025-11-26,451.5,174.0,1355.0
2025-11-27,453.8,48.0,1373.0
2025-11-28,458.2,48.0,1359.0
2025-12-01,459.2,96.0,1335.0
2025-12-02,456.2,134.0,1371.0
2025-12-03,451.4,48.0,1361.0
2025-12-04,454.3,5.0,1363.0
2025-12-05,454.8,24.0,1368.0
2025-12-08,459.0,129.0,1338.0
2025-12-09,449.3,91.0,1331.0
2025-12-10,447.3,125.0,1327.0
2025-12-11,444.4,59.0,1304.0
2025-12-12,443.8,106.0,1303.0
2025-12-15,441.0,30.0,1308.0
2025-12-16,433.8,44.0,1316.0
2025-12-17,430.0,156.0,1356.0
2025-12-18,432.5,44.0,1362.0
2025-12-19,430.2,87.0,1381.0
2025-12-22,439.8,373.0,1372.0
2025-12-23,441.9,518.0,1346.0
2025-12-24,442.4,574.0,1446.0
2025-12-25,443.2,59.0,1449.0
2025-12-26,442.9,37.0,1436.0
2025-12-29,436.6,34.0,1437.0
2025-12-30,437.9,24.0,1442.0
2025-12-31,436.0,19.0,1446.0
2026-01-05,427.4,82.0,1471.0
2026-01-06,433.1,26.0,1467.0
2026-01-07,424.2,294.0,1544.0
2026-01-08,424.7,314.0,1659.0
2026-01-09,439.2,523.0,1855.0
2026-01-12,443.5,786.0,2285.0
2026-01-13,447.6,411.0,2264.0
2026-01-14,450.8,228.0,2290.0
2026-01-15,449.9,250.0,2302.0
2026-01-16,444.2,131.0,2309.0
2026-01-19,442.5,133.0,2316.0
2026-01-20,441.8,452.0,2539.0
2026-01-21,444.7,235.0,2504.0
2026-01-22,450.0,104.0,2496.0
2026-01-23,447.5,159.0,2520.0
2026-01-26,459.5,462.0,2572.0
2026-01-27,451.5,125.0,2564.0
2026-01-28,465.8,205.0,2606.0
2026-01-29,475.9,1154.0,3341.0
2026-01-30,474.7,2557.0,4171.0
2026-02-02,456.8,1451.0,3997.0
2026-02-03,456.6,1028.0,3949.0
2026-02-04,470.4,672.0,4036.0
2026-02-05,470.9,819.0,3840.0
2026-02-06,473.0,968.0,3876.0
2026-02-09,468.3,1110.0,4149.0
2026-02-10,478.4,910.0,4192.0
2026-02-11,479.4,474.0,4268.0
2026-02-12,480.0,648.0,4269.0
2026-02-13,465.2,1108.0,4068.0
2026-02-24,492.8,1744.0,4726.0
2026-02-25,483.4,2784.0,4791.0
2026-02-26,482.4,896.0,4695.0
2026-02-27,487.2,2891.0,4289.0
2026-03-02,526.5,14660.0,7898.0
2026-03-03,561.7,13481.0,8588.0
2026-03-04,588.8,13355.0,6492.0
2026-03-05,584.0,16802.0,7095.0
2026-03-06,597.1,12412.0,8025.0
2026-03-09,692.2,11224.0,9149.0
2026-03-10,628.4,18711.0,9530.0
2026-03-11,626.5,7837.0,9146.0
2026-03-12,684.0,11263.0,10473.0
2026-03-13,711.4,8917.0,10999.0
2026-03-16,726.8,5617.0,10987.0
2026-03-17,719.3,7720.0,11654.0
2026-03-18,698.7,5794.0,11558.0
2026-03-19,780.2,9559.0,12269.0
2026-03-20,740.9,11132.0,11572.0
2026-03-23,801.3,9342.0,11971.0
2026-03-24,715.1,14744.0,11676.0
2026-03-25,696.3,9433.0,10982.0
2026-03-26,707.1,4563.0,11123.0
2026-03-27,713.7,4783.0,11072.0
2026-03-30,736.1,7302.0,11383.0
2026-03-31,714.5,5672.0,11098.0
2026-04-01,631.6,13192.0,11813.0
2026-04-02,684.7,9464.0,12270.0
2026-04-03,697.7,11443.0,13175.0
2026-04-07,684.9,5904.0,13339.0
2026-04-08,607.8,11259.0,13856.0
2026-04-09,630.0,6737.0,13981.0
2026-04-10,621.3,8611.0,15916.0
2026-04-13,641.2,8772.0,15627.0
2026-04-14,635.8,6094.0,15195.0
2026-04-15,621.7,6803.0,15483.0
2026-04-16,626.5,5381.0,14775.0
2026-04-17,630.8,3695.0,14693.0
2026-04-20,614.2,13986.0,17627.0
2026-04-21,611.2,5973.0,18038.0
2026-04-22,619.5,8470.0,19142.0
2026-04-23,638.3,10328.0,19981.0
2026-04-24,645.0,9262.0,19744.0
2026-04-27,651.6,9879.0,19659.0
2026-04-28,667.7,10528.0,21196.0
2026-04-29,665.8,11014.0,21831.0
2026-04-30,687.7,14570.0,21278.0
2026-05-06,666.6,8840.0,20859.0
2026-05-07,627.7,17080.0,23017.0
2026-05-08,626.5,20689.0,24801.0
2026-05-11,637.2,13719.0,24302.0
2026-05-12,647.9,13664.0,24742.0
2026-05-13,639.1,14620.0,25934.0
2026-05-14,625.8,19899.0,26600.0
2026-05-15,656.9,33745.0,30605.0
2026-05-18,680.4,38309.0,36458.0
2026-05-19,681.1,43399.0,40319.0
2026-05-20,670.5,38236.0,40416.0
2026-05-21,656.0,54352.0,40207.0
2026-05-22,641.1,52412.0,37808.0
2026-05-25,607.9,53710.0,39756.0
2026-05-26,602.3,36228.0,36677.0
2026-05-27,599.8,32153.0,36084.0
2026-05-28,598.7,37670.0,37947.0
2026-05-29,581.0,49328.0,39033.0
2026-06-01,595.9,39580.0,36204.0
2026-06-02,596.0,53305.0,36567.0
2026-06-03,611.8,30629.0,32473.0
2026-06-04,603.6,24928.0,30622.0
2026-06-05,594.6,23115.0,30221.0
