date,close,volume,hold
2025-02-14,527.0,5.0,23.0
2025-02-17,524.5,8.0,26.0
2025-03-04,499.6,2.0,19.0
2025-03-05,496.3,6.0,23.0
2025-03-06,488.7,4.0,21.0
2025-03-12,489.0,2.0,20.0
2025-03-13,493.2,5.0,20.0
2025-03-25,520.6,5.0,22.0
2025-03-27,514.0,3.0,24.0
2025-03-28,513.8,9.0,29.0
2025-04-03,517.9,1.0,28.0
2025-04-08,467.8,16.0,24.0
2025-04-09,450.0,10.0,26.0
2025-04-10,467.9,6.0,24.0
2025-04-11,462.7,4.0,26.0
2025-04-14,459.5,1.0,26.0
2025-04-15,465.8,1.0,26.0
2025-04-16,459.4,2.0,24.0
2025-04-17,466.1,1.0,24.0
2025-04-18,475.0,1.0,25.0
2025-04-22,470.6,10.0,25.0
2025-04-23,476.9,4.0,25.0
2025-04-24,466.3,4.0,26.0
2025-04-25,472.1,3.0,26.0
2025-05-06,435.7,8.0,26.0
2025-05-08,440.9,1.0,27.0
2025-05-19,451.7,1.0,28.0
2025-05-20,455.4,1.0,29.0
2025-05-21,459.0,2.0,29.0
2025-05-22,453.0,6.0,27.0
2025-05-27,446.5,1.0,27.0
2025-05-28,443.0,1.0,27.0
2025-05-29,450.0,1.0,27.0
2025-06-05,454.6,1.0,28.0
2025-06-09,456.0,3.0,31.0
2025-06-10,463.1,2.0,30.0
2025-06-11,462.7,3.0,31.0
2025-06-12,473.4,5.0,28.0
2025-06-13,490.0,34.0,27.0
2025-06-16,494.6,19.0,31.0
2025-06-17,492.1,22.0,33.0
2025-06-18,511.7,28.0,36.0
2025-06-19,509.5,23.0,38.0
2025-06-20,509.1,21.0,43.0
2025-06-23,516.2,10.0,39.0
2025-06-24,474.9,107.0,76.0
2025-06-25,482.1,92.0,60.0
2025-06-26,478.1,15.0,66.0
2025-06-27,477.1,24.0,74.0
2025-06-30,476.2,14.0,77.0
2025-07-01,474.8,34.0,88.0
2025-07-02,472.9,107.0,157.0
2025-07-03,477.3,149.0,264.0
2025-07-04,476.4,47.0,287.0
2025-07-07,475.4,54.0,328.0
2025-07-08,480.0,29.0,325.0
2025-07-09,484.1,89.0,327.0
2025-07-10,485.7,48.0,325.0
2025-07-11,479.6,186.0,387.0
2025-07-14,490.3,235.0,564.0
2025-07-15,480.1,354.0,488.0
2025-07-16,481.9,19.0,485.0
2025-07-17,480.5,17.0,484.0
2025-07-18,487.3,20.0,476.0
2025-07-21,486.7,11.0,478.0
2025-07-22,483.2,28.0,484.0
2025-07-23,482.2,8.0,481.0
2025-07-24,486.0,15.0,481.0
2025-07-25,489.4,275.0,679.0
2025-07-28,485.1,92.0,690.0
2025-07-29,494.0,27.0,684.0
2025-07-30,506.7,88.0,714.0
2025-07-31,508.6,65.0,703.0
2025-08-01,505.8,118.0,731.0
2025-08-04,491.0,350.0,854.0
2025-08-05,487.3,69.0,852.0
2025-08-06,484.5,104.0,831.0
2025-08-07,479.6,171.0,920.0
2025-08-08,473.1,323.0,1082.0
2025-08-11,471.6,50.0,1089.0
2025-08-12,478.5,223.0,1113.0
2025-08-13,476.9,423.0,1319.0
2025-08-14,476.1,244.0,1393.0
2025-08-15,479.0,341.0,1529.0
2025-08-18,477.5,486.0,1674.0
2025-08-19,477.6,176.0,1716.0
2025-08-20,477.8,638.0,1942.0
2025-08-21,484.7,373.0,2066.0
2025-08-22,485.8,175.0,1997.0
2025-08-25,484.7,127.0,2004.0
2025-08-26,487.8,161.0,1943.0
2025-08-27,480.1,463.0,2031.0
2025-08-28,480.3,61.0,2036.0
2025-08-29,480.0,238.0,1971.0
2025-09-01,480.6,47.0,1966.0
2025-09-02,486.4,192.0,1914.0
2025-09-03,488.5,52.0,1912.0
2025-09-04,476.7,253.0,1903.0
2025-09-05,474.3,186.0,1903.0
2025-09-08,475.2,290.0,1866.0
2025-09-09,475.3,247.0,1933.0
2025-09-10,484.0,925.0,2161.0
2025-09-11,485.9,1339.0,2164.0
2025-09-12,476.5,979.0,2459.0
2025-09-15,486.5,408.0,2381.0
2025-09-16,486.9,491.0,2485.0
2025-09-17,491.8,335.0,2477.0
2025-09-18,486.7,131.0,2514.0
2025-09-19,483.3,369.0,2666.0
2025-09-22,481.9,154.0,2711.0
2025-09-23,472.6,228.0,2734.0
2025-09-24,481.3,644.0,2985.0
2025-09-25,489.7,586.0,2966.0
2025-09-26,491.9,282.0,2999.0
2025-09-29,492.4,517.0,2922.0
2025-09-30,479.8,372.0,2933.0
2025-10-09,471.6,322.0,2904.0
2025-10-10,464.1,362.0,2985.0
2025-10-13,455.8,1172.0,3019.0
2025-10-14,450.5,275.0,2970.0
2025-10-15,448.3,449.0,3012.0
2025-10-16,447.4,200.0,3052.0
2025-10-17,438.7,409.0,3085.0
2025-10-20,440.9,303.0,3075.0
2025-10-21,442.4,299.0,3081.0
2025-10-22,451.4,825.0,3244.0
2025-10-23,462.5,1258.0,2943.0
2025-10-24,466.5,2060.0,3062.0
2025-10-27,469.9,1109.0,3250.0
2025-10-28,464.2,1170.0,3373.0
2025-10-29,461.9,1276.0,3685.0
2025-10-30,459.1,538.0,3738.0
2025-10-31,459.5,405.0,3733.0
2025-11-03,468.5,790.0,3714.0
2025-11-04,465.0,300.0,3718.0
2025-11-05,464.8,660.0,3714.0
2025-11-06,463.0,632.0,3843.0
2025-11-07,463.0,770.0,3989.0
2025-11-10,465.2,629.0,4071.0
2025-11-11,462.5,937.0,4371.0
2025-11-12,470.1,950.0,4428.0
2025-11-13,455.2,1600.0,4654.0
2025-11-14,460.0,1197.0,4827.0
2025-11-17,460.5,549.0,4822.0
2025-11-18,459.3,1801.0,5018.0
2025-11-19,465.1,1608.0,4970.0
2025-11-20,457.6,2967.0,5230.0
2025-11-21,450.6,4402.0,5390.0
2025-11-24,450.4,3924.0,5960.0
2025-11-25,450.9,4361.0,6755.0
2025-11-26,446.5,4916.0,7410.0
2025-11-27,449.9,2930.0,7504.0
2025-11-28,455.5,4039.0,7333.0
2025-12-01,457.1,6993.0,8418.0
2025-12-02,455.3,3583.0,8689.0
2025-12-03,449.8,6232.0,9647.0
2025-12-04,454.0,4006.0,10278.0
2025-12-05,454.8,3673.0,10612.0
2025-12-08,459.6,4378.0,10746.0
2025-12-09,448.1,6620.0,11804.0
2025-12-10,445.2,4288.0,12226.0
2025-12-11,442.2,6207.0,12884.0
2025-12-12,439.5,11385.0,12134.0
2025-12-15,438.2,5316.0,12795.0
2025-12-16,431.3,10096.0,14225.0
2025-12-17,427.3,16125.0,17416.0
2025-12-18,429.9,10963.0,18629.0
2025-12-19,427.4,8533.0,19535.0
2025-12-22,437.6,15840.0,20052.0
2025-12-23,439.7,14696.0,20326.0
2025-12-24,442.9,13547.0,18763.0
2025-12-25,442.3,8568.0,19150.0
2025-12-26,442.6,11323.0,19809.0
2025-12-29,435.3,17316.0,20983.0
2025-12-30,437.7,17662.0,23028.0
2025-12-31,433.2,13220.0,23413.0
2026-01-05,423.5,18602.0,26094.0
2026-01-06,429.4,35343.0,25195.0
2026-01-07,418.0,52397.0,28497.0
2026-01-08,417.3,33036.0,29268.0
2026-01-09,433.5,40875.0,28455.0
2026-01-12,438.6,52929.0,29681.0
2026-01-13,446.7,51190.0,33792.0
2026-01-14,448.0,92089.0,36627.0
2026-01-15,446.6,115980.0,39575.0
2026-01-16,438.8,88633.0,41539.0
2026-01-19,437.4,77853.0,40770.0
2026-01-20,437.0,51993.0,40047.0
2026-01-21,440.8,78058.0,39936.0
