date,close,volume,hold
2023-03-27,513.2,80.0,45.0
2023-03-28,518.0,1.0,45.0
2023-03-29,530.1,1.0,44.0
2023-03-30,526.0,1.0,44.0
2023-04-03,563.8,3.0,43.0
2023-04-06,571.1,2.0,44.0
2023-04-12,570.2,1.0,44.0
2023-04-17,575.0,3.0,44.0
2023-04-18,571.8,2.0,44.0
2023-04-20,556.5,4.0,43.0
2023-04-21,550.2,9.0,44.0
2023-04-24,550.0,2.0,43.0
2023-04-25,563.0,8.0,43.0
2023-05-04,500.0,2.0,42.0
2023-05-05,499.0,3.0,42.0
2023-05-11,517.9,1.0,42.0
2023-05-19,521.0,1.0,41.0
2023-06-01,503.0,1.0,41.0
2023-06-02,516.0,1.0,41.0
2023-06-13,508.4,5.0,43.0
2023-06-14,520.8,2.0,44.0
2023-06-15,520.6,2.0,45.0
2023-06-19,525.0,4.0,47.0
2023-06-21,538.5,22.0,65.0
2023-06-27,528.3,6.0,65.0
2023-06-28,521.6,9.0,66.0
2023-06-29,529.8,7.0,67.0
2023-06-30,532.9,6.0,67.0
2023-07-04,534.5,1.0,67.0
2023-07-05,540.7,5.0,69.0
2023-07-06,546.4,8.0,73.0
2023-07-07,552.8,9.0,76.0
2023-07-10,556.7,5.0,78.0
2023-07-11,555.3,8.0,78.0
2023-07-12,563.2,5.0,81.0
2023-07-13,566.2,12.0,88.0
2023-07-14,569.7,12.0,87.0
2023-07-17,561.0,11.0,82.0
2023-07-18,561.1,31.0,98.0
2023-07-19,570.2,8.0,97.0
2023-07-20,568.7,22.0,99.0
2023-07-21,573.4,28.0,114.0
2023-07-24,576.8,15.0,117.0
2023-07-25,585.6,14.0,121.0
2023-07-26,588.0,114.0,159.0
2023-07-27,589.1,181.0,250.0
2023-07-28,594.2,64.0,264.0
2023-07-31,594.6,110.0,288.0
2023-08-01,603.9,90.0,305.0
2023-08-02,606.7,80.0,338.0
2023-08-03,590.0,221.0,330.0
2023-08-04,604.9,197.0,388.0
2023-08-07,609.6,238.0,434.0
2023-08-08,603.4,482.0,775.0
2023-08-09,609.5,469.0,958.0
2023-08-10,616.1,220.0,964.0
2023-08-11,609.6,271.0,1031.0
2023-08-14,609.5,461.0,1062.0
2023-08-15,620.3,303.0,1105.0
2023-08-16,608.2,305.0,1189.0
2023-08-17,605.9,216.0,1243.0
2023-08-18,606.6,350.0,1363.0
2023-08-21,618.2,644.0,1436.0
2023-08-22,612.9,462.0,1387.0
2023-08-23,615.5,732.0,1421.0
2023-08-24,604.7,800.0,1387.0
2023-08-25,609.3,601.0,1409.0
2023-08-28,614.0,4154.0,1456.0
2023-08-29,610.7,2534.0,1614.0
2023-08-30,619.9,2717.0,1619.0
2023-08-31,619.7,2939.0,1681.0
2023-09-01,628.4,3538.0,1735.0
2023-09-04,635.0,4175.0,1878.0
2023-09-05,641.6,1838.0,1881.0
2023-09-06,652.0,6561.0,1939.0
2023-09-07,659.2,4691.0,2046.0
2023-09-08,656.7,5514.0,2162.0
2023-09-11,659.9,6611.0,2724.0
2023-09-12,665.1,4534.0,2689.0
2023-09-13,674.6,5220.0,3017.0
2023-09-14,676.8,7180.0,3291.0
2023-09-15,683.2,7259.0,3926.0
2023-09-18,682.7,10372.0,5473.0
2023-09-19,679.9,9693.0,6253.0
2023-09-20,670.8,9266.0,6751.0
2023-09-21,665.6,8151.0,6894.0
2023-09-22,673.5,10312.0,6952.0
2023-09-25,672.0,10271.0,7628.0
2023-09-26,665.0,8238.0,8493.0
2023-09-27,680.4,8526.0,8673.0
2023-09-28,691.7,9401.0,9348.0
2023-10-09,632.0,10051.0,8403.0
2023-10-10,635.4,9078.0,8696.0
2023-10-11,639.2,8244.0,9101.0
2023-10-12,629.7,10649.0,8887.0
2023-10-13,638.4,9854.0,9013.0
2023-10-16,662.4,14345.0,10098.0
2023-10-17,660.3,11553.0,10955.0
2023-10-18,673.0,17185.0,12178.0
2023-10-19,674.6,14947.0,12313.0
2023-10-20,687.5,20722.0,13943.0
2023-10-23,676.5,26115.0,14817.0
2023-10-24,669.0,26586.0,15263.0
2023-10-25,654.3,28734.0,16338.0
2023-10-26,661.6,31226.0,16103.0
2023-10-27,664.9,28540.0,17184.0
2023-10-30,661.7,34744.0,18575.0
2023-10-31,650.8,36454.0,19221.0
2023-11-01,644.0,41689.0,17969.0
2023-11-02,647.0,43251.0,19539.0
2023-11-03,654.3,44099.0,20409.0
2023-11-06,642.3,60647.0,20913.0
2023-11-07,623.5,64235.0,23716.0
2023-11-08,607.5,59303.0,24885.0
2023-11-09,594.9,77569.0,26743.0
2023-11-10,597.0,62650.0,27370.0
2023-11-13,597.1,55161.0,28628.0
2023-11-14,606.8,57698.0,30680.0
2023-11-15,605.7,80237.0,33752.0
2023-11-16,592.1,108453.0,38054.0
2023-11-17,566.1,189167.0,41711.0
2023-11-20,586.7,213948.0,41801.0
2023-11-21,587.5,175958.0,41189.0
2023-11-22,591.2,212846.0,40430.0
2023-11-23,579.0,267460.0,40280.0
2023-11-24,583.6,185597.0,40426.0
2023-11-27,571.5,212988.0,40666.0
2023-11-28,571.2,211225.0,39095.0
2023-11-29,578.6,197861.0,35986.0
2023-11-30,589.4,247629.0,33714.0
2023-12-01,569.7,320353.0,36235.0
2023-12-04,553.2,252903.0,37727.0
2023-12-05,555.1,232415.0,34477.0
2023-12-06,554.1,241029.0,33694.0
2023-12-07,535.4,206523.0,36192.0
2023-12-08,548.5,255490.0,29631.0
2023-12-11,556.1,173958.0,28503.0
2023-12-12,554.6,162462.0,27136.0
2023-12-13,521.1,176577.0,27720.0
2023-12-14,529.6,130888.0,20876.0
2023-12-15,543.9,74458.0,17294.0
2023-12-18,547.4,39190.0,13157.0
2023-12-19,551.0,19213.0,8619.0
2023-12-20,558.4,895.0,7947.0
2023-12-21,559.7,4180.0,4569.0
2023-12-22,560.4,419.0,4283.0
2023-12-25,548.7,282.0,4124.0
2023-12-26,553.3,2095.0,2198.0
2023-12-27,568.0,1589.0,658.0
2023-12-28,558.8,521.0,177.0
2023-12-29,518.8,148.0,105.0
