date,open,high,low,close,volume,hold,settle
2024-10-14,526.1,526.1,526.1,526.1,4,4,526.1
2024-10-15,532.0,544.9,516.8,516.8,13,3,531.7
2024-10-16,514.0,514.0,514.0,514.0,1,2,514.0
2024-10-22,517.5,517.5,517.5,517.5,2,2,517.5
2024-10-29,497.2,497.2,497.2,497.2,1,2,497.2
2024-10-30,501.0,501.0,501.0,501.0,1,1,501.0
2024-11-04,513.1,513.1,513.1,513.1,1,1,513.1
2024-11-05,513.1,513.1,513.1,513.1,1,2,513.1
2024-11-06,515.0,515.0,515.0,515.0,1,1,515.0
2024-11-07,525.1,525.1,525.1,525.1,1,2,525.1
2024-11-13,516.6,516.6,510.8,510.8,4,2,513.7
2024-11-25,513.4,513.4,513.4,513.4,1,2,513.4
2024-12-04,515.6,515.6,515.6,515.6,1,3,515.6
2024-12-05,520.6,520.6,514.8,514.8,2,3,517.7
2024-12-06,508.4,511.5,508.3,511.5,4,3,509.8
2024-12-11,509.6,509.6,509.6,509.6,1,3,509.6
2024-12-12,519.8,519.8,519.8,519.8,1,4,519.8
2024-12-13,522.8,522.8,522.8,522.8,1,5,522.8
2024-12-16,531.6,531.6,531.6,531.6,1,6,531.6
2024-12-17,528.8,528.8,526.4,526.7,3,8,527.3
2024-12-18,519.1,519.1,519.1,519.1,1,8,519.1
2024-12-23,526.1,526.1,522.9,522.9,2,8,524.5
2024-12-31,531.8,537.0,528.4,537.0,4,10,532.0
2025-01-02,540.8,540.8,540.8,540.8,1,10,540.8
2025-01-03,549.8,551.6,549.8,551.6,2,11,550.7
2025-01-06,549.8,559.7,540.3,553.7,4,12,550.8
2025-01-07,557.9,557.9,547.9,547.9,3,14,554.2
2025-01-08,549.0,551.0,548.9,551.0,4,14,549.5
2025-01-09,544.4,545.0,544.4,545.0,2,15,544.7
2025-01-10,549.8,550.2,542.4,549.9,6,18,547.9
2025-01-13,565.8,573.0,562.4,563.2,22,26,567.6
2025-01-14,567.3,567.3,564.7,564.7,6,30,566.0
2025-01-15,567.0,568.0,560.2,561.6,8,32,563.5
2025-01-16,566.2,572.5,564.0,567.0,17,26,567.9
2025-01-17,569.7,569.8,563.8,563.8,4,26,566.8
2025-01-20,555.8,562.4,555.8,556.9,5,23,557.5
2025-01-21,555.4,555.9,555.4,555.9,3,23,555.7
2025-01-23,543.7,563.7,543.7,557.5,23,25,551.3
2025-01-24,557.0,560.5,550.5,553.4,7,25,554.1
2025-01-27,554.1,554.1,545.0,546.5,4,26,549.9
2025-02-05,550.5,550.5,550.5,550.5,1,26,550.5
2025-02-06,544.6,544.6,544.6,544.6,1,27,544.6
2025-02-07,541.0,541.0,541.0,541.0,1,27,541.0
2025-02-12,553.8,558.7,553.8,558.0,6,24,557.2
2025-02-13,542.3,542.3,538.5,538.5,4,25,540.7
2025-02-14,533.9,544.5,533.9,544.5,6,24,540.1
2025-02-17,523.5,541.2,523.5,534.1,5,24,536.2
2025-02-18,538.4,541.8,538.4,541.8,2,23,540.1
2025-02-20,546.4,550.7,543.6,543.6,9,26,546.0
2025-02-21,542.5,542.5,542.5,542.5,1,25,542.5
2025-02-24,535.6,535.6,529.6,530.3,7,26,531.8
2025-02-25,533.3,533.3,533.3,533.3,1,26,533.3
2025-02-26,527.3,527.3,516.7,520.4,9,28,521.0
2025-02-27,519.9,521.4,519.3,519.3,9,30,520.4
2025-02-28,523.1,528.8,523.1,528.8,4,30,525.0
2025-03-03,524.0,526.8,524.0,526.8,2,31,525.4
2025-03-04,514.5,514.5,508.0,508.0,11,33,510.4
2025-03-05,506.9,506.9,504.5,504.5,2,33,505.7
2025-03-06,500.4,500.4,490.0,497.0,15,38,495.5
2025-03-07,496.8,498.2,493.0,497.4,38,56,496.0
2025-03-10,502.8,510.0,502.0,502.0,33,63,507.2
2025-03-11,491.2,495.7,491.2,495.7,5,64,493.8
2025-03-12,500.1,500.1,495.9,497.3,3,64,497.7
2025-03-14,502.5,503.2,498.1,501.1,7,68,501.6
2025-03-17,500.0,513.6,498.2,511.3,137,140,509.6
2025-03-18,508.9,511.7,506.2,511.7,18,140,508.2
2025-03-19,510.4,511.1,506.0,506.0,3,139,509.1
2025-03-20,507.1,510.8,507.1,508.9,6,140,508.5
2025-03-21,510.5,517.2,509.8,516.4,12,139,515.0
2025-03-24,519.1,520.6,510.6,520.6,4,138,516.7
2025-03-25,520.0,523.0,520.0,523.0,2,138,521.5
2025-03-26,525.5,528.1,525.3,526.7,6,136,526.0
2025-03-27,529.9,530.0,523.8,523.8,131,83,525.3
2025-03-28,524.8,526.9,517.5,525.2,14,84,524.9
2025-03-31,527.2,527.2,519.6,519.6,3,84,522.6
2025-04-01,530.3,536.5,530.0,535.6,11,81,533.7
2025-04-02,533.8,535.7,533.8,534.6,9,82,535.0
2025-04-03,525.4,528.2,524.8,524.8,17,84,526.2
2025-04-07,489.3,489.3,489.3,489.3,3,85,489.3
2025-04-08,469.7,486.8,469.7,475.7,284,199,476.1
2025-04-09,477.0,477.0,445.6,455.0,181,192,452.5
2025-04-10,443.5,479.2,442.3,472.0,209,263,450.4
2025-04-11,460.0,465.0,455.5,463.1,50,268,459.4
2025-04-14,460.0,468.6,456.3,465.0,71,287,461.4
2025-04-15,469.7,469.7,463.2,468.8,32,296,468.0
2025-04-16,465.2,468.6,458.7,459.0,32,300,463.3
2025-04-17,466.2,477.2,466.2,474.5,173,294,470.2
2025-04-18,476.7,484.7,475.0,479.9,149,313,480.7
2025-04-21,478.3,480.0,473.5,477.9,107,289,477.2
2025-04-22,473.4,480.0,470.2,477.9,101,310,475.3
2025-04-23,478.3,488.0,478.0,487.1,83,296,484.6
2025-04-24,483.0,483.0,469.0,475.4,168,346,476.9
2025-04-25,476.3,477.5,472.5,477.4,52,359,476.0
2025-04-28,470.6,479.3,470.6,479.3,52,379,475.9
2025-04-29,476.2,477.0,463.0,465.8,202,441,468.0
2025-04-30,462.0,462.9,453.3,455.5,124,472,457.1
2025-05-06,444.1,444.1,439.7,443.7,331,641,441.3
2025-05-07,445.4,453.7,444.2,453.7,362,807,448.6
2025-05-08,453.1,453.1,442.9,445.2,102,789,445.5
2025-05-09,447.9,455.6,447.2,454.2,61,769,452.2
2025-05-12,457.4,464.6,452.3,464.6,79,752,458.7
2025-05-13,470.3,470.5,461.4,463.5,238,691,466.6
2025-05-14,466.7,474.4,465.0,470.4,316,605,469.6
2025-05-15,470.3,472.0,454.3,454.3,210,625,461.9
2025-05-16,457.3,458.3,450.7,451.2,350,606,454.8
2025-05-19,455.0,458.1,453.4,458.0,531,666,455.6
2025-05-20,460.4,463.2,457.5,460.2,234,705,461.3
2025-05-21,460.8,470.3,458.5,465.2,377,711,464.6
2025-05-22,464.1,464.1,448.8,448.8,263,796,455.9
2025-05-23,448.8,453.0,448.8,450.0,183,849,450.6
2025-05-26,447.7,455.0,446.9,453.8,437,935,450.7
2025-05-27,451.8,454.1,448.5,452.2,224,966,451.6
2025-05-28,450.0,450.8,444.5,447.5,212,992,447.7
2025-05-29,452.8,458.6,450.2,457.8,717,956,455.1
2025-05-30,452.1,452.1,440.8,441.5,698,1119,445.3
2025-06-03,452.9,458.2,452.9,454.1,695,1171,455.3
2025-06-04,455.6,461.1,454.4,459.7,432,1101,458.2
2025-06-05,458.0,460.7,452.5,455.4,600,1170,455.8
2025-06-06,459.0,461.0,457.2,459.1,359,1234,459.1
2025-06-09,460.7,467.8,460.7,465.5,569,1240,465.4
2025-06-10,468.0,472.5,465.2,470.1,614,1190,469.9
2025-06-11,471.6,474.7,467.3,468.3,509,1154,470.6
2025-06-12,475.7,487.1,474.1,482.9,1134,1077,480.7
2025-06-13,479.6,523.9,479.2,507.3,6200,1639,510.4
2025-06-16,517.7,521.4,505.8,516.7,5562,2283,514.3
2025-06-17,506.5,517.4,495.6,508.7,5149,2446,506.4
2025-06-18,515.5,539.0,513.9,535.6,9077,2381,529.5
2025-06-19,537.8,543.9,524.7,543.3,12034,3736,535.7
2025-06-20,544.1,553.8,537.9,541.3,9872,4487,545.0
2025-06-23,538.6,559.0,535.3,550.3,9411,4683,547.1
2025-06-24,543.3,549.3,497.8,497.8,22098,7566,520.2
2025-06-25,497.7,500.2,485.4,494.1,14067,8005,493.3
2025-06-26,491.5,493.8,484.3,488.0,11443,9387,489.4
2025-06-27,484.9,491.4,483.8,486.4,8646,9655,487.6
2025-06-30,486.1,490.5,480.9,483.9,9350,10516,484.8
2025-07-01,485.8,487.7,482.4,487.2,4431,10623,485.4
2025-07-02,491.0,491.0,484.8,487.4,5242,11082,487.4
2025-07-03,491.5,497.8,487.8,494.4,5194,11333,492.4
2025-07-04,496.6,496.6,492.5,493.2,5551,11609,494.8
2025-07-07,491.8,494.6,485.1,492.4,3811,11586,490.6
2025-07-08,496.0,500.3,495.2,498.9,7354,12082,497.6
2025-07-09,501.6,506.7,499.7,504.0,7725,12114,503.3
2025-07-10,503.7,506.0,501.1,504.8,6234,12539,503.4
2025-07-11,501.0,502.4,495.7,497.2,8173,12633,497.4
2025-07-14,499.1,508.1,498.6,506.5,7493,13094,504.9
2025-07-15,509.6,509.6,498.1,499.6,10452,13371,502.2
2025-07-16,501.8,502.6,498.7,501.1,5790,13493,500.5
2025-07-17,496.8,501.4,493.2,498.7,9100,13345,496.6
2025-07-18,499.9,510.4,498.5,508.1,10633,14720,504.1
2025-07-21,509.9,512.4,504.4,505.0,16529,16340,507.3
