date,close,volume,hold
2022-02-14,543.3,4.0,1.0
2022-02-17,533.0,1.0,0.0
2022-03-03,561.7,4.0,2.0
2022-03-04,557.3,1.0,2.0
2022-03-07,601.7,3.0,1.0
2022-03-08,647.7,3.0,3.0
2022-03-09,671.2,7.0,7.0
2022-03-10,590.9,3.0,7.0
2022-03-11,587.0,4.0,7.0
2022-03-14,584.4,4.0,5.0
2022-03-16,571.8,1.0,4.0
2022-03-25,594.4,1.0,4.0
2022-03-28,586.0,1.0,3.0
2022-04-08,605.1,1.0,3.0
2022-04-11,605.3,1.0,2.0
2022-05-13,645.0,2.0,4.0
2022-05-16,670.0,1.0,4.0
2022-05-17,694.1,2.0,3.0
2022-05-25,669.9,1.0,3.0
2022-05-27,679.1,3.0,6.0
2022-06-02,681.3,2.0,6.0
2022-06-06,708.5,1.0,5.0
2022-06-09,727.4,1.0,6.0
2022-06-10,718.9,1.0,7.0
2022-06-14,714.7,1.0,7.0
2022-06-17,695.0,5.0,8.0
2022-06-20,665.9,1.0,8.0
2022-06-21,679.0,4.0,9.0
2022-06-22,649.8,7.0,11.0
2022-06-23,660.4,5.0,14.0
2022-06-24,650.6,1.0,14.0
2022-06-27,659.2,6.0,16.0
2022-06-28,682.0,2.0,18.0
2022-06-30,668.7,4.0,20.0
2022-07-01,648.3,7.0,21.0
2022-07-04,660.0,6.0,24.0
2022-07-06,595.0,10.0,24.0
2022-07-07,592.5,12.0,28.0
2022-07-08,620.0,65.0,73.0
2022-07-11,629.4,10.0,75.0
2022-07-12,629.5,2.0,76.0
2022-07-13,601.3,10.0,76.0
2022-07-14,592.3,9.0,77.0
2022-07-15,575.7,34.0,83.0
2022-07-18,598.7,70.0,139.0
2022-07-19,615.0,18.0,144.0
2022-07-20,616.6,13.0,146.0
2022-07-21,612.0,22.0,154.0
2022-07-22,606.0,10.0,150.0
2022-07-25,593.7,19.0,152.0
2022-07-26,622.3,398.0,311.0
2022-07-27,610.7,132.0,312.0
2022-07-28,638.1,142.0,324.0
2022-07-29,632.3,64.0,328.0
2022-08-01,638.8,107.0,356.0
2022-08-02,633.2,250.0,365.0
2022-08-03,637.7,276.0,427.0
2022-08-04,619.8,198.0,435.0
2022-08-05,607.1,489.0,620.0
2022-08-08,613.0,368.0,636.0
2022-08-09,616.3,236.0,661.0
2022-08-10,614.6,148.0,686.0
2022-08-11,629.4,290.0,735.0
2022-08-12,633.0,260.0,766.0
2022-08-15,624.7,339.0,774.0
2022-08-16,614.7,284.0,794.0
2022-08-17,607.3,484.0,896.0
2022-08-18,616.1,458.0,974.0
2022-08-19,617.8,1119.0,1264.0
2022-08-22,624.6,655.0,1315.0
2022-08-23,644.8,824.0,1345.0
2022-08-24,655.4,1791.0,1922.0
2022-08-25,667.1,1702.0,2138.0
2022-08-26,661.3,1431.0,2218.0
2022-08-29,663.8,2049.0,2158.0
2022-08-30,673.2,2153.0,1939.0
2022-08-31,658.7,2283.0,2040.0
2022-09-01,633.1,1947.0,2053.0
2022-09-02,625.0,2304.0,1921.0
2022-09-05,635.5,1444.0,1998.0
2022-09-06,633.6,1265.0,2041.0
2022-09-07,616.9,1417.0,2328.0
2022-09-08,596.3,2672.0,2528.0
2022-09-09,601.1,1907.0,2482.0
2022-09-13,615.3,1893.0,2603.0
2022-09-14,610.1,2573.0,2655.0
2022-09-15,625.5,5580.0,2628.0
2022-09-16,613.8,5041.0,2741.0
2022-09-19,601.0,5007.0,3397.0
2022-09-20,608.2,5084.0,4326.0
2022-09-21,620.0,3988.0,4314.0
2022-09-22,618.4,3684.0,4695.0
2022-09-23,621.0,4346.0,5204.0
2022-09-26,595.1,9879.0,7035.0
2022-09-27,592.0,5857.0,7710.0
2022-09-28,593.9,6372.0,8527.0
2022-09-29,619.8,6781.0,7958.0
2022-09-30,613.0,6146.0,8396.0
2022-10-10,679.6,4887.0,8481.0
2022-10-11,677.8,6549.0,9032.0
2022-10-12,665.7,6508.0,9191.0
2022-10-13,655.2,5284.0,9036.0
2022-10-14,666.2,7452.0,9948.0
2022-10-17,653.5,9640.0,10902.0
2022-10-18,656.1,7144.0,11511.0
2022-10-19,644.4,12611.0,12978.0
2022-10-20,656.8,18017.0,13422.0
2022-10-21,650.0,14687.0,14686.0
2022-10-24,650.4,14300.0,14993.0
2022-10-25,657.4,14918.0,15102.0
2022-10-26,655.0,14517.0,16124.0
2022-10-27,670.5,22612.0,17596.0
2022-10-28,673.0,20150.0,18297.0
2022-10-31,666.6,23404.0,17668.0
2022-11-01,679.9,30893.0,19233.0
2022-11-02,687.0,24826.0,20295.0
2022-11-03,690.4,23131.0,21147.0
2022-11-04,695.7,25719.0,21146.0
2022-11-07,703.2,25247.0,21729.0
2022-11-08,703.1,24945.0,23380.0
2022-11-09,682.1,41006.0,22332.0
2022-11-10,663.5,41408.0,21843.0
2022-11-11,672.6,57138.0,23208.0
2022-11-14,659.1,61014.0,26533.0
2022-11-15,646.2,85842.0,32017.0
2022-11-16,640.2,120185.0,36096.0
2022-11-17,628.9,123145.0,40086.0
2022-11-18,618.1,131671.0,41746.0
2022-11-21,600.2,175826.0,44884.0
2022-11-22,593.5,202001.0,45900.0
2022-11-23,597.0,120610.0,44662.0
2022-11-24,570.1,163488.0,49334.0
2022-11-25,572.6,113261.0,46919.0
2022-11-28,548.2,156381.0,44971.0
2022-11-29,573.6,171353.0,38211.0
2022-11-30,570.6,149955.0,36550.0
2022-12-01,572.0,125430.0,35569.0
2022-12-02,572.5,127140.0,34604.0
2022-12-05,558.6,155965.0,35105.0
2022-12-06,544.2,163826.0,33121.0
2022-12-07,515.0,173994.0,30868.0
2022-12-08,511.7,176450.0,28012.0
2022-12-09,501.0,163639.0,23214.0
2022-12-12,499.3,83837.0,12260.0
2022-12-13,518.9,4536.0,10660.0
