date,open,high,low,close,volume,hold,settle
2023-01-17,534.5,563.6,534.5,563.6,2,1,549.0
2023-01-19,549.0,549.0,549.0,549.0,1,0,549.0
2023-01-20,574.6,574.6,544.9,544.9,10,4,559.7
2023-02-01,548.0,548.0,548.0,548.0,4,0,548.0
2023-02-07,597.7,597.7,507.5,528.0,3,0,544.4
2023-03-14,538.8,538.8,538.8,538.8,2,1,538.8
2023-03-23,512.0,512.0,512.0,512.0,1,1,512.0
2023-04-20,555.0,555.0,555.0,555.0,1,1,555.0
2023-04-25,562.5,562.5,562.5,562.5,1,0,562.5
2023-05-04,503.1,503.1,503.1,503.1,1,1,503.1
2023-06-01,511.8,511.8,494.7,494.7,4,2,503.4
2023-06-02,497.1,511.1,497.1,501.3,3,1,503.1
2023-06-21,534.2,534.2,534.1,534.1,3,4,534.1
2023-07-04,534.6,534.6,534.6,534.6,1,4,534.6
2023-07-14,568.5,568.5,568.5,568.5,2,4,568.5
2023-07-26,584.6,584.6,584.6,584.6,2,4,584.6
2023-07-27,584.4,584.4,584.4,584.4,1,5,584.4
2023-08-01,598.6,600.0,597.8,600.0,3,4,598.8
2023-08-02,597.2,604.8,597.2,604.8,2,6,601.0
2023-08-03,598.9,599.1,587.9,587.9,6,10,594.5
2023-08-04,595.0,595.0,595.0,595.0,1,11,595.0
2023-08-07,606.7,606.7,606.7,606.7,6,10,606.7
2023-08-08,602.6,603.5,602.6,603.5,2,10,603.0
2023-08-09,594.7,609.6,594.7,609.6,9,11,601.9
2023-08-10,610.0,613.2,610.0,612.1,8,13,611.6
2023-08-11,612.1,612.1,604.0,604.5,48,47,607.2
2023-08-14,608.2,611.3,602.2,602.2,47,77,606.7
2023-08-15,604.9,618.1,604.6,616.3,13,77,608.0
2023-08-16,606.2,612.9,603.9,603.9,15,88,605.4
2023-08-17,607.4,607.4,598.2,598.2,4,88,602.3
2023-08-18,602.9,602.9,600.0,601.2,5,88,601.1
2023-08-21,598.9,605.2,598.9,605.2,3,88,602.0
2023-08-22,600.5,600.5,600.5,600.5,1,88,600.5
2023-08-23,604.8,613.0,604.8,610.4,5,87,609.4
2023-08-24,599.6,602.7,598.1,599.9,13,88,600.0
2023-08-28,606.3,609.2,600.0,608.0,170,105,606.2
2023-08-29,607.1,611.7,604.3,606.1,176,114,607.1
2023-08-30,608.4,614.1,604.0,613.7,99,123,607.8
2023-08-31,612.2,614.2,610.7,613.2,164,131,612.5
