date,close,volume,hold
2024-01-02,559.5,9.0,2.0
2024-01-03,545.0,25.0,10.0
2024-01-04,557.2,17.0,13.0
2024-01-05,551.6,16.0,11.0
2024-01-08,550.8,10.0,12.0
2024-01-09,541.0,11.0,14.0
2024-01-10,553.0,18.0,23.0
2024-01-11,543.3,16.0,19.0
2024-01-12,554.5,10.0,24.0
2024-01-15,551.7,14.0,22.0
2024-01-16,548.0,8.0,20.0
2024-01-17,545.9,7.0,21.0
2024-01-18,548.5,4.0,24.0
2024-01-23,553.7,2.0,23.0
2024-01-25,556.9,3.0,24.0
2024-01-26,567.5,15.0,17.0
2024-01-30,573.6,2.0,15.0
2024-01-31,567.1,3.0,15.0
2024-02-01,568.4,1.0,15.0
2024-02-02,555.3,2.0,15.0
2024-02-05,546.4,2.0,15.0
2024-02-07,550.2,2.0,15.0
2024-02-08,553.1,1.0,15.0
2024-02-19,573.9,5.0,17.0
2024-02-21,568.3,4.0,19.0
2024-03-01,566.8,3.0,21.0
2024-03-05,567.1,3.0,20.0
2024-03-07,568.6,3.0,23.0
2024-03-08,568.8,2.0,23.0
2024-03-11,568.7,2.0,22.0
2024-03-15,584.2,1.0,21.0
2024-03-18,589.5,2.0,20.0
2024-03-20,599.7,5.0,22.0
2024-03-21,596.9,4.0,20.0
2024-03-25,591.9,1.0,21.0
2024-03-26,595.1,1.0,22.0
2024-03-28,591.0,2.0,22.0
2024-03-29,603.6,3.0,24.0
2024-04-01,598.6,76.0,61.0
2024-04-02,605.0,13.0,57.0
2024-04-03,612.0,3.0,55.0
2024-04-09,619.3,10.0,59.0
2024-04-10,612.6,4.0,57.0
2024-04-11,619.0,27.0,76.0
2024-04-12,622.6,14.0,79.0
2024-04-15,622.3,12.0,84.0
2024-04-16,628.7,9.0,84.0
2024-04-17,622.7,7.0,82.0
2024-04-18,619.0,2.0,82.0
2024-04-19,615.7,27.0,79.0
2024-04-22,607.0,2.0,79.0
2024-04-24,612.1,2.0,80.0
2024-04-25,611.7,18.0,93.0
2024-04-26,607.2,1.0,93.0
2024-04-29,612.1,1.0,92.0
