date,open,high,low,close,volume,hold,settle
2025-10-13,452.8,452.8,446.6,446.6,2,0,449.7
2025-10-28,469.4,469.4,462.1,463.4,4,2,464.8
2025-10-30,459.1,466.0,459.1,459.2,5,5,462.0
2025-10-31,460.4,461.8,458.7,458.7,5,5,459.9
2025-11-03,469.5,469.5,466.9,466.9,2,5,468.2
2025-11-04,462.5,466.5,462.5,466.5,2,6,464.5
2025-11-06,459.7,464.5,459.7,464.5,2,7,462.1
2025-11-10,462.6,462.6,462.6,462.6,1,8,462.6
2025-11-11,466.5,466.5,466.5,466.5,1,9,466.5
2025-11-12,469.1,470.7,468.0,469.2,8,8,469.2
2025-11-13,461.5,466.2,457.1,457.1,161,107,463.2
2025-11-14,459.8,464.3,459.5,460.3,15,112,461.2
2025-11-17,462.4,462.4,462.1,462.2,4,111,462.2
2025-11-18,466.0,466.4,460.6,460.6,10,112,464.0
2025-11-19,464.6,466.1,463.9,465.5,18,105,464.9
2025-11-20,458.5,459.5,458.5,459.2,5,104,458.9
2025-11-21,455.2,455.4,455.2,455.4,2,104,455.3
2025-11-24,455.0,455.0,450.5,453.8,4,104,452.9
2025-11-25,458.4,458.4,456.3,456.3,2,104,457.3
2025-11-26,451.0,451.0,451.0,451.0,3,105,451.0
2025-11-27,453.1,453.1,453.1,453.1,1,105,453.1
2025-12-01,460.1,460.1,460.1,460.1,1,105,460.1
2025-12-02,457.9,457.9,455.0,455.3,27,107,455.6
2025-12-03,453.6,453.6,447.8,450.1,84,169,449.3
2025-12-04,453.4,453.4,450.8,453.3,24,177,452.3
2025-12-05,453.3,454.4,449.2,453.1,95,212,452.1
2025-12-08,456.9,458.0,454.2,456.6,35,220,456.3
2025-12-09,451.6,452.3,445.6,447.7,103,289,448.0
2025-12-10,448.6,448.6,444.3,445.4,28,293,445.2
2025-12-11,445.4,446.7,441.4,443.5,156,421,444.2
2025-12-12,443.4,443.5,439.2,442.6,125,516,441.9
2025-12-15,441.0,441.1,437.5,438.4,143,638,439.3
2025-12-16,438.0,438.0,431.5,432.3,191,729,433.5
2025-12-17,429.9,430.1,426.8,430.1,64,765,428.4
2025-12-18,431.8,434.3,427.9,430.3,32,768,430.3
2025-12-19,431.2,431.5,427.7,428.9,16,769,429.3
2025-12-22,431.5,440.2,431.5,440.0,54,773,438.9
2025-12-23,443.2,444.5,437.0,443.3,286,788,443.0
2025-12-24,445.7,445.7,441.1,444.3,608,854,443.4
2025-12-25,444.2,445.5,440.9,445.2,37,854,444.2
2025-12-26,446.2,448.7,444.3,444.5,58,849,445.7
2025-12-29,441.3,442.0,437.0,438.1,58,848,439.8
2025-12-30,441.9,442.3,438.6,439.3,27,854,439.7
2025-12-31,439.3,440.3,437.1,438.8,16,848,438.6
2026-01-05,436.4,438.4,431.3,431.4,75,859,434.6
2026-01-06,434.6,436.6,434.6,436.6,14,858,435.6
2026-01-07,438.2,439.7,426.3,428.9,71,868,431.1
2026-01-08,431.4,434.4,426.0,428.2,62,862,428.7
2026-01-09,439.9,444.0,431.2,442.9,108,886,438.2
2026-01-12,442.1,447.8,441.0,447.3,204,961,446.2
2026-01-13,446.5,449.8,441.4,449.8,153,990,446.9
2026-01-14,452.3,455.3,449.8,453.9,204,1062,454.0
2026-01-15,460.5,462.4,450.9,453.4,218,1125,452.9
2026-01-16,447.1,450.0,445.8,447.1,149,1161,447.7
2026-01-19,451.7,452.7,446.0,446.0,53,1178,447.5
2026-01-20,446.3,447.7,444.7,445.8,24,1175,446.1
2026-01-21,447.6,453.0,446.7,448.7,128,1212,448.1
2026-01-22,452.3,454.6,452.0,453.5,55,1216,453.9
2026-01-23,447.3,450.5,447.3,450.2,180,1230,449.2
2026-01-26,452.2,463.0,452.2,460.4,221,1284,459.7
2026-01-27,458.0,460.0,452.1,454.2,50,1295,456.8
2026-01-28,454.2,470.9,452.0,467.8,67,1297,464.8
2026-01-29,470.0,480.7,469.6,478.5,84,1317,475.3
2026-01-30,478.5,506.7,473.7,479.8,206,1359,488.1
2026-02-02,483.9,493.6,454.2,455.0,185,1322,469.5
2026-02-03,460.0,463.4,456.6,460.8,103,1329,459.7
2026-02-04,464.3,474.6,462.9,473.3,128,1358,470.8
2026-02-05,471.3,483.5,467.7,474.3,115,1369,472.7
2026-02-06,472.5,477.9,465.8,475.1,53,1375,472.1
2026-02-09,466.8,479.0,464.4,470.0,97,1395,471.3
2026-02-10,474.1,480.7,471.7,480.7,26,1398,476.3
2026-02-11,481.4,483.8,478.6,482.3,43,1396,481.3
2026-02-12,488.1,489.3,480.2,482.2,75,1428,485.0
2026-02-13,480.3,480.3,464.3,468.8,41,1433,472.3
2026-02-24,488.0,495.7,488.0,492.5,274,1569,491.8
2026-02-25,492.5,494.7,476.1,477.9,1230,1319,481.4
2026-02-26,477.9,483.0,476.8,478.7,464,1448,479.4
2026-02-27,470.0,489.9,470.0,483.5,361,1622,480.0
2026-03-02,494.8,523.2,490.0,523.2,566,1676,511.5
2026-03-03,532.3,533.2,500.8,527.0,1226,2132,523.0
2026-03-04,532.8,568.6,521.6,558.1,5754,2967,554.5
2026-03-05,541.0,570.0,517.0,542.2,2398,2608,546.3
2026-03-06,552.0,572.3,536.1,549.3,2334,2295,548.5
2026-03-09,595.5,630.7,579.1,630.7,974,2334,605.2
2026-03-10,645.6,650.0,505.0,594.0,2222,2055,600.3
2026-03-11,596.8,599.8,568.1,595.0,504,2087,590.0
2026-03-12,600.0,679.0,600.0,646.0,807,2164,644.5
2026-03-13,660.0,668.7,648.5,663.0,603,2251,659.6
2026-03-16,651.0,690.1,647.0,676.7,327,2245,669.4
2026-03-17,650.1,677.0,636.5,670.3,176,2242,655.7
2026-03-18,667.3,676.2,642.8,651.2,321,2262,662.1
2026-03-19,690.0,712.6,680.2,708.6,471,2226,700.9
2026-03-20,707.0,708.1,655.8,691.0,328,2223,686.6
2026-03-23,697.5,746.0,695.9,740.7,307,2231,717.0
2026-03-24,660.0,692.0,638.1,668.1,350,2217,673.9
2026-03-25,682.3,682.3,621.5,654.3,345,2130,647.4
2026-03-26,650.0,674.5,648.6,671.0,139,2095,661.4
2026-03-27,685.1,685.1,666.6,675.8,220,2035,673.2
2026-03-30,684.0,704.0,674.4,686.0,511,2086,683.6
2026-03-31,685.9,689.3,660.4,675.3,244,2092,675.0
2026-04-01,670.2,671.8,602.9,602.9,725,2084,627.9
2026-04-02,619.4,654.2,590.1,645.6,351,2069,622.6
2026-04-03,667.4,671.3,622.3,655.8,305,2113,647.6
2026-04-07,652.2,652.2,641.5,641.5,213,2230,647.0
2026-04-08,641.2,655.0,566.9,586.2,1023,2134,598.0
2026-04-09,579.4,619.3,576.8,616.1,323,2145,597.1
2026-04-10,620.2,620.3,597.9,606.8,301,2076,604.4
2026-04-13,604.1,637.1,597.3,625.5,575,1907,607.1
2026-04-14,626.5,629.0,613.8,620.9,246,1816,622.2
2026-04-15,618.0,618.7,603.8,610.0,119,1813,611.3
2026-04-16,614.5,619.3,610.8,614.4,183,1779,614.4
2026-04-17,615.2,623.5,611.5,618.4,131,1805,618.2
2026-04-20,581.0,605.8,578.6,605.8,269,1834,590.2
2026-04-21,605.0,605.1,596.0,602.0,133,1844,601.7
2026-04-22,603.8,618.0,603.5,607.5,123,1851,610.0
2026-04-23,615.0,634.7,615.0,628.0,514,1679,621.3
2026-04-24,627.7,641.6,626.0,638.0,498,1525,636.2
2026-04-27,637.0,645.0,626.8,642.7,458,1449,636.5
2026-04-28,643.3,655.5,639.1,654.3,255,1452,650.6
2026-04-29,656.1,658.9,646.0,653.0,359,1433,651.1
2026-04-30,658.1,673.4,656.5,668.1,647,1508,666.7
2026-05-06,654.1,664.1,652.6,657.1,334,1433,658.1
2026-05-07,634.9,635.8,614.9,616.3,348,1367,626.3
2026-05-08,602.6,626.0,602.6,618.2,805,1757,616.3
2026-05-11,618.5,634.9,614.3,629.8,406,1762,628.4
2026-05-12,629.8,640.8,622.1,640.4,637,1993,631.3
2026-05-13,640.4,646.0,631.1,632.9,361,2046,637.8
2026-05-14,642.0,642.0,620.0,622.1,618,2322,626.3
2026-05-15,619.6,653.1,618.2,646.5,821,2384,638.7
2026-05-18,649.8,669.6,646.6,666.2,754,2498,661.4
2026-05-19,648.0,670.2,647.6,665.0,850,2811,660.3
2026-05-20,666.0,672.2,655.6,656.8,896,3002,665.1
2026-05-21,652.2,659.2,627.2,646.3,700,2986,643.4
2026-05-22,651.4,660.1,625.6,635.1,625,3115,641.5
2026-05-25,629.0,636.1,596.1,601.3,942,3345,610.2
2026-05-26,603.4,605.2,593.0,598.7,1112,3515,600.2
2026-05-27,598.7,608.8,591.0,594.7,808,3533,599.1
2026-05-28,585.3,598.0,579.3,592.5,1310,3591,590.4
2026-05-29,589.6,595.7,576.3,577.7,1216,3596,584.5
2026-06-01,574.5,593.1,572.8,592.8,877,3625,582.5
2026-06-02,587.6,613.6,585.7,591.6,2569,3876,601.4
2026-06-03,593.5,606.8,591.7,605.5,1862,3790,601.0
2026-06-04,606.4,608.2,596.6,599.0,1084,3736,602.6
2026-06-05,589.0,597.9,587.1,592.6,783,3666,592.3
