date,open,high,low,close,volume,hold,settle
2025-07-16,485.5,487.1,483.8,484.8,57,869,484.7
2025-07-17,478.7,487.5,478.7,483.0,135,856,481.0
2025-07-18,484.0,491.6,483.1,489.7,166,832,488.0
2025-07-21,490.2,494.4,488.2,489.3,43,825,490.5
2025-07-22,486.9,488.0,483.7,485.5,188,826,485.3
2025-07-23,484.4,487.9,482.8,484.5,85,828,484.1
2025-07-24,483.8,488.9,483.2,487.2,100,833,486.4
2025-07-25,488.4,492.8,486.3,491.5,261,917,491.2
2025-07-28,491.0,491.9,485.5,487.3,163,917,487.7
2025-07-29,490.0,496.7,490.0,495.8,259,1030,495.1
2025-07-30,497.9,511.6,497.9,508.2,148,1088,507.2
2025-07-31,509.7,514.8,508.0,511.8,102,1084,511.7
2025-08-01,508.7,513.3,507.2,508.9,147,1081,509.6
2025-08-04,507.1,507.1,491.3,494.1,280,1047,499.8
2025-08-05,485.2,491.7,485.0,489.0,141,1028,486.6
2025-08-06,485.5,487.0,484.0,486.3,82,1032,486.0
2025-08-07,488.3,489.5,479.7,482.3,182,1093,483.3
2025-08-08,481.7,481.7,475.5,476.0,442,1208,478.9
2025-08-11,480.0,482.4,473.1,474.3,75,1223,477.0
2025-08-12,477.8,482.6,477.8,480.8,284,1219,479.9
2025-08-13,477.6,479.9,476.4,479.0,309,1302,477.7
2025-08-14,478.0,478.8,473.2,478.0,314,1404,477.2
2025-08-15,478.0,481.5,476.6,480.6,286,1480,479.9
2025-08-18,478.5,479.3,475.0,478.4,302,1584,477.1
2025-08-19,477.0,479.4,473.0,478.9,248,1643,476.1
2025-08-20,475.4,480.6,475.4,478.5,451,1779,478.2
2025-08-21,480.4,485.5,479.0,485.3,471,1828,481.6
2025-08-22,483.3,488.2,483.0,486.8,251,1786,486.5
2025-08-25,486.6,488.4,484.7,486.3,87,1762,486.9
2025-08-26,487.6,492.8,487.6,489.5,139,1712,490.5
2025-08-27,485.7,487.9,479.7,481.8,246,1761,482.2
2025-08-28,483.1,484.5,480.5,481.3,86,1742,482.3
2025-08-29,483.0,485.8,479.8,481.8,260,1782,482.2
2025-09-01,483.7,483.8,479.7,481.8,84,1795,482.0
2025-09-02,485.9,522.7,485.4,488.4,266,1763,488.5
2025-09-03,485.6,492.4,485.5,490.2,193,1745,489.7
2025-09-04,484.6,486.3,478.4,478.6,365,1762,482.5
2025-09-05,478.2,479.2,475.4,476.6,246,1786,477.5
2025-09-08,474.0,479.2,466.7,477.2,394,1834,472.6
2025-09-09,477.5,477.6,472.6,477.1,302,1799,476.0
2025-09-10,478.5,486.1,477.0,485.2,1449,2117,483.7
2025-09-11,484.9,488.7,482.4,486.9,1255,2133,486.0
2025-09-12,479.8,481.3,476.1,476.2,771,2281,478.4
2025-09-15,486.6,488.9,483.3,486.8,784,2567,487.0
2025-09-16,485.8,490.7,484.7,487.2,2998,3858,488.0
2025-09-17,492.5,495.9,489.6,492.5,1495,4250,492.1
2025-09-18,489.7,493.4,486.7,487.6,349,4252,490.4
2025-09-19,490.2,492.0,482.5,483.9,548,4287,486.6
2025-09-22,482.6,483.3,479.2,482.8,495,4287,481.8
2025-09-23,476.6,478.3,471.7,472.6,531,4226,475.1
2025-09-24,479.4,484.0,478.7,482.0,903,4139,482.1
2025-09-25,487.6,491.4,486.3,490.4,929,4046,488.9
2025-09-26,489.2,493.3,486.5,491.4,449,4005,489.9
2025-09-29,494.0,498.9,490.1,492.7,1289,3770,493.7
2025-09-30,487.4,487.5,478.5,479.8,941,3703,481.1
2025-10-09,472.9,473.3,467.8,471.9,597,3647,470.2
2025-10-10,471.5,473.5,463.8,464.2,893,3804,468.2
2025-10-13,458.4,459.3,446.7,455.5,3408,3784,453.8
2025-10-14,453.8,456.3,449.2,450.1,2604,3847,453.0
2025-10-15,444.1,449.1,439.6,447.5,1423,4045,445.9
2025-10-16,448.0,450.1,443.2,446.3,601,4098,446.7
2025-10-17,444.8,446.2,435.4,437.4,1521,4264,439.2
2025-10-20,441.4,443.6,438.9,439.0,1017,4396,441.3
2025-10-21,438.5,443.1,435.6,441.5,1946,4539,439.8
2025-10-22,444.4,456.4,438.0,450.1,5253,4971,447.5
2025-10-23,449.8,466.6,449.0,461.6,7334,4799,459.7
2025-10-24,467.1,470.7,463.3,465.5,7893,5060,466.4
2025-10-27,467.2,470.4,466.1,469.0,4318,5761,468.7
2025-10-28,468.0,469.0,463.8,464.1,5719,6170,466.6
2025-10-29,459.8,462.8,456.2,461.4,5473,6796,459.9
2025-10-30,460.2,465.2,458.0,459.1,5510,8279,460.9
2025-10-31,458.5,463.3,456.8,459.0,3088,8038,459.6
2025-11-03,462.7,469.2,461.5,468.6,6013,8437,466.0
2025-11-04,465.8,468.8,463.8,464.9,3255,8147,465.9
2025-11-05,461.8,466.4,460.4,465.2,4111,8055,463.2
2025-11-06,464.0,466.7,459.4,462.9,4514,8124,462.2
2025-11-07,463.9,464.5,456.1,462.6,5726,8920,460.1
2025-11-10,461.7,465.3,459.8,464.6,4492,8941,462.8
2025-11-11,463.5,464.3,460.5,462.0,4710,9077,462.2
2025-11-12,465.0,472.0,465.0,469.4,5662,8635,469.1
2025-11-13,467.4,467.5,451.5,454.5,9715,9903,457.8
2025-11-14,456.7,465.2,455.4,459.8,7104,9846,459.8
2025-11-17,459.8,465.0,458.8,460.0,5791,10548,461.2
2025-11-18,463.6,466.1,458.2,459.0,7437,11374,462.5
2025-11-19,462.1,469.3,459.4,465.1,10688,11628,464.0
2025-11-20,457.0,459.0,453.2,456.4,15305,11994,456.1
2025-11-21,459.8,461.1,447.2,448.7,16935,12814,453.9
2025-11-24,450.3,450.7,443.8,449.2,12841,12303,447.2
2025-11-25,449.0,451.9,445.0,449.8,13594,12722,448.9
2025-11-26,444.0,447.7,440.3,445.6,20616,13996,444.7
2025-11-27,443.9,449.2,443.8,448.8,10315,14749,446.7
2025-11-28,451.3,456.1,449.3,455.1,15221,15375,452.2
2025-12-01,453.4,459.3,451.2,456.9,18147,16519,455.0
2025-12-02,453.8,457.0,451.7,455.4,17444,16581,454.7
2025-12-03,453.5,454.5,446.1,449.3,22997,17230,450.3
2025-12-04,452.4,454.5,450.1,453.9,17891,17413,452.6
2025-12-05,454.0,457.3,451.0,454.8,19066,18468,454.5
2025-12-08,454.8,460.1,453.3,459.5,21529,20236,457.5
2025-12-09,453.0,455.3,446.6,447.8,28723,21414,451.1
2025-12-10,449.0,449.4,444.0,444.5,19783,22633,445.9
2025-12-11,444.8,447.0,440.0,441.2,27510,24382,442.9
2025-12-12,439.3,441.8,435.2,438.5,36324,28090,438.5
2025-12-15,436.6,438.5,435.0,437.3,32989,31767,437.2
2025-12-16,434.5,436.9,428.6,430.6,48483,34553,432.2
2025-12-17,427.0,428.4,419.6,426.7,94714,39057,424.3
2025-12-18,427.3,432.5,425.1,429.4,82779,39043,428.3
2025-12-19,426.8,430.3,424.8,426.6,71483,40686,427.4
2025-12-22,428.9,438.3,428.2,437.9,81884,39797,432.6
2025-12-23,441.4,445.5,439.7,440.9,79792,36910,441.7
2025-12-24,442.9,444.8,439.7,444.7,65801,36678,442.6
2025-12-25,444.0,444.5,440.9,442.7,45862,34826,443.0
2025-12-26,442.5,447.6,440.2,441.8,46549,32823,443.4
2025-12-29,441.5,441.8,431.9,434.8,73241,32180,435.6
2025-12-30,439.7,441.1,434.9,436.1,66125,30384,438.6
2025-12-31,438.5,439.6,428.4,432.2,51990,29568,436.5
2026-01-05,436.0,436.3,421.5,421.7,44486,34239,426.8
2026-01-06,427.5,429.9,425.0,428.2,68944,31596,427.3
2026-01-07,430.5,437.3,411.0,416.3,110999,32970,424.8
2026-01-08,421.4,422.5,414.1,416.2,70283,33068,418.0
2026-01-09,419.8,433.9,419.3,432.7,85331,29929,425.8
2026-01-12,431.7,440.1,429.8,437.5,86570,25051,435.7
2026-01-13,436.0,445.7,432.0,445.6,65072,22556,437.7
2026-01-14,451.2,454.0,442.9,445.5,93761,19989,448.9
2026-01-15,456.4,458.7,441.3,444.9,56646,14486,451.4
2026-01-16,440.5,440.5,433.8,435.3,23693,8857,437.1
2026-01-19,439.8,444.1,434.8,436.2,11195,6702,440.0
2026-01-20,436.3,439.7,434.5,435.1,3852,5488,436.8
2026-01-21,437.0,444.7,436.4,440.2,502,5330,439.7
2026-01-22,443.3,451.4,441.7,445.4,2308,3535,444.3
2026-01-23,441.1,441.7,432.7,441.7,2215,1949,440.2
2026-01-26,442.9,453.1,442.5,453.0,1581,414,443.1
2026-01-27,452.0,460.8,440.1,455.0,456,153,448.3
2026-01-28,452.6,458.6,428.0,458.2,18,143,451.8
2026-01-29,458.1,481.0,458.1,464.7,9,142,465.6
