date,close,volume,hold
2023-11-08,578.3,1.0,1.0
2023-11-10,584.0,1.0,1.0
2023-11-24,576.6,4.0,2.0
2023-12-14,526.6,4.0,3.0
2023-12-18,545.1,1.0,2.0
2024-01-04,556.8,1.0,3.0
2024-01-09,539.0,2.0,2.0
2024-01-10,546.6,1.0,2.0
2024-01-25,561.0,2.0,2.0
2024-01-29,578.1,2.0,1.0
2024-02-05,550.0,2.0,2.0
2024-02-23,570.1,2.0,3.0
2024-03-04,574.9,3.0,6.0
2024-03-07,575.9,6.0,9.0
2024-03-08,575.1,5.0,12.0
2024-03-11,575.8,1.0,12.0
2024-03-12,570.7,1.0,13.0
2024-03-13,574.8,8.0,21.0
2024-03-25,600.8,1.0,22.0
2024-03-27,601.7,1.0,21.0
2024-03-28,602.7,8.0,24.0
2024-03-29,609.8,4.0,23.0
2024-04-01,611.5,27.0,27.0
2024-04-02,617.4,7.0,26.0
2024-04-03,625.0,8.0,29.0
2024-04-08,627.7,1.0,29.0
2024-04-09,630.0,10.0,26.0
2024-04-10,622.9,13.0,26.0
2024-04-11,631.3,8.0,30.0
2024-04-12,636.1,10.0,32.0
2024-04-15,633.0,12.0,30.0
2024-04-16,629.0,2.0,31.0
2024-04-17,631.7,2.0,32.0
2024-04-18,615.9,11.0,31.0
2024-04-19,624.4,20.0,30.0
2024-04-22,605.4,6.0,31.0
2024-04-25,620.9,9.0,35.0
2024-04-26,623.2,2.0,35.0
2024-04-29,626.6,4.0,33.0
2024-04-30,619.0,8.0,32.0
2024-05-06,598.0,11.0,35.0
2024-05-07,597.7,3.0,33.0
2024-05-08,596.0,6.0,32.0
2024-05-09,598.4,29.0,39.0
2024-05-10,603.5,52.0,51.0
2024-05-13,590.9,19.0,58.0
2024-05-14,599.4,11.0,61.0
2024-05-15,596.6,10.0,59.0
2024-05-16,593.8,24.0,69.0
2024-05-17,601.1,21.0,79.0
2024-05-20,607.1,62.0,107.0
2024-05-21,600.7,34.0,116.0
2024-05-22,597.4,37.0,120.0
2024-05-23,592.3,52.0,131.0
2024-05-24,587.1,104.0,162.0
2024-05-27,596.6,158.0,176.0
2024-05-28,600.4,65.0,177.0
2024-05-29,607.6,56.0,178.0
2024-05-30,602.4,143.0,185.0
2024-05-31,595.0,52.0,189.0
2024-06-03,590.7,48.0,195.0
2024-06-04,568.3,395.0,249.0
2024-06-05,564.5,65.0,240.0
2024-06-06,571.5,67.0,247.0
2024-06-07,578.4,43.0,251.0
2024-06-11,588.6,40.0,253.0
2024-06-12,595.4,71.0,261.0
2024-06-13,592.0,69.0,248.0
2024-06-14,593.6,63.0,250.0
2024-06-17,590.0,124.0,275.0
2024-06-18,599.6,146.0,319.0
2024-06-19,607.0,121.0,335.0
2024-06-20,609.6,144.0,310.0
2024-06-21,610.3,80.0,320.0
2024-06-24,608.7,71.0,331.0
2024-06-25,613.7,256.0,364.0
2024-06-26,612.5,217.0,423.0
2024-06-27,611.2,280.0,494.0
2024-06-28,618.9,508.0,590.0
2024-07-01,617.2,281.0,642.0
2024-07-02,625.0,287.0,680.0
2024-07-03,625.5,172.0,724.0
2024-07-04,623.6,174.0,756.0
2024-07-05,625.0,134.0,767.0
2024-07-08,617.2,222.0,759.0
2024-07-09,615.2,116.0,781.0
2024-07-10,605.4,504.0,663.0
2024-07-11,614.8,273.0,618.0
2024-07-12,613.6,217.0,651.0
2024-07-15,608.1,442.0,818.0
2024-07-16,604.0,341.0,895.0
2024-07-17,598.3,409.0,984.0
2024-07-18,609.4,634.0,1231.0
2024-07-19,602.2,497.0,1282.0
2024-07-22,588.5,1415.0,1404.0
2024-07-23,587.9,2717.0,1611.0
2024-07-24,581.9,4129.0,2424.0
2024-07-25,579.1,3226.0,3192.0
2024-07-26,587.0,3395.0,3808.0
2024-07-29,579.4,5346.0,4502.0
2024-07-30,566.7,3208.0,4332.0
2024-07-31,573.6,4951.0,4426.0
2024-08-01,585.4,7214.0,5451.0
2024-08-02,574.0,4851.0,6190.0
2024-08-05,540.4,14562.0,9765.0
2024-08-06,543.7,13161.0,10510.0
2024-08-07,542.4,7995.0,11053.0
2024-08-08,549.0,11167.0,11057.0
2024-08-09,558.8,8458.0,11952.0
2024-08-12,564.8,4867.0,11812.0
2024-08-13,574.3,6095.0,11942.0
2024-08-14,568.0,9799.0,11726.0
2024-08-15,561.5,8025.0,11727.0
2024-08-16,568.8,8086.0,11537.0
2024-08-19,556.8,12018.0,12042.0
2024-08-20,546.6,16987.0,14183.0
2024-08-21,545.5,20477.0,15578.0
2024-08-22,536.2,22702.0,17769.0
2024-08-23,544.0,16691.0,18257.0
2024-08-26,558.1,21566.0,16092.0
2024-08-27,565.6,20024.0,16167.0
2024-08-28,555.6,19066.0,16594.0
2024-08-29,546.3,20073.0,17953.0
2024-08-30,554.2,24360.0,18706.0
2024-09-02,537.6,30701.0,19319.0
2024-09-03,546.2,17633.0,18742.0
2024-09-04,519.2,36221.0,22547.0
2024-09-05,517.3,34149.0,24775.0
2024-09-06,519.0,39004.0,25284.0
2024-09-09,511.5,51458.0,26731.0
2024-09-10,507.3,43960.0,27802.0
2024-09-11,501.3,82276.0,28516.0
2024-09-12,511.4,95036.0,29734.0
2024-09-13,513.6,80772.0,29829.0
2024-09-18,515.8,43710.0,33118.0
2024-09-19,522.7,150589.0,33738.0
2024-09-20,523.1,129530.0,32742.0
2024-09-23,525.1,126691.0,32528.0
2024-09-24,527.4,172409.0,30731.0
2024-09-25,535.0,151947.0,32269.0
2024-09-26,523.2,225797.0,28048.0
2024-09-27,524.4,170635.0,23250.0
2024-09-30,543.5,152214.0,20968.0
2024-10-08,580.1,2336.0,19816.0
2024-10-09,562.0,140532.0,22125.0
2024-10-10,556.7,143632.0,23272.0
2024-10-11,570.4,142454.0,23524.0
2024-10-14,566.5,155561.0,19618.0
2024-10-15,546.5,126534.0,19310.0
2024-10-16,536.9,106089.0,17384.0
2024-10-17,534.0,74335.0,14825.0
2024-10-18,539.5,27016.0,11301.0
2024-10-21,529.7,13537.0,7227.0
2024-10-22,535.1,2408.0,5874.0
2024-10-23,555.3,945.0,5407.0
2024-10-24,552.8,1280.0,4250.0
2024-10-25,544.0,310.0,3977.0
2024-10-28,519.4,708.0,3298.0
2024-10-29,507.3,101.0,3304.0
2024-10-30,511.0,19.0,3304.0
