date,close,volume,hold
2024-11-20,519.9,5.0,13.0
2024-11-21,515.6,2.0,14.0
2024-12-30,527.5,14.0,76.0
2025-01-03,536.9,5.0,83.0
2025-01-07,548.9,3.0,86.0
2025-01-08,547.2,5.0,86.0
2025-01-13,555.2,21.0,91.0
2025-01-15,562.0,32.0,92.0
2025-01-16,561.7,26.0,93.0
2025-01-20,551.3,5.0,91.0
2025-01-21,549.2,1.0,90.0
2025-01-22,549.0,4.0,90.0
2025-01-24,548.6,1.0,89.0
2025-02-05,540.8,1.0,87.0
2025-02-06,534.3,23.0,92.0
2025-02-07,533.0,14.0,92.0
2025-02-10,540.0,1.0,92.0
2025-02-11,546.4,6.0,89.0
2025-02-12,547.1,60.0,121.0
2025-02-13,530.0,40.0,120.0
2025-02-14,535.0,3.0,118.0
2025-02-17,531.0,24.0,124.0
2025-02-19,536.1,23.0,133.0
2025-02-24,525.0,49.0,197.0
2025-02-26,516.3,29.0,207.0
2025-02-27,514.7,59.0,241.0
2025-02-28,519.0,15.0,240.0
2025-03-03,518.5,13.0,243.0
2025-03-04,505.4,43.0,256.0
2025-03-05,501.5,41.0,263.0
2025-03-06,493.2,50.0,286.0
2025-03-07,493.7,36.0,289.0
2025-03-10,498.5,108.0,298.0
2025-03-11,492.5,55.0,317.0
2025-03-12,491.4,23.0,317.0
2025-03-13,498.0,52.0,298.0
2025-03-14,497.8,22.0,294.0
2025-03-17,502.0,124.0,307.0
2025-03-18,505.0,25.0,304.0
2025-03-19,498.5,41.0,314.0
2025-03-20,504.2,11.0,312.0
2025-03-21,510.8,28.0,309.0
2025-03-24,512.7,25.0,307.0
2025-03-25,516.9,77.0,315.0
2025-03-26,521.4,29.0,317.0
2025-03-27,519.3,54.0,311.0
2025-03-28,520.0,100.0,332.0
2025-03-31,513.8,41.0,323.0
2025-04-01,528.2,89.0,348.0
2025-04-02,526.8,67.0,333.0
2025-04-03,516.0,194.0,402.0
2025-04-07,484.3,18.0,402.0
2025-04-08,474.8,562.0,330.0
2025-04-09,452.9,441.0,496.0
2025-04-10,470.7,204.0,534.0
2025-04-11,463.5,245.0,577.0
2025-04-14,461.0,208.0,582.0
2025-04-15,467.6,269.0,559.0
2025-04-16,459.1,142.0,559.0
2025-04-17,473.2,107.0,547.0
2025-04-18,476.3,201.0,515.0
2025-04-21,473.8,212.0,494.0
2025-04-22,474.4,213.0,505.0
2025-04-23,483.4,112.0,478.0
2025-04-24,472.4,134.0,495.0
2025-04-25,474.4,172.0,461.0
2025-04-28,476.5,167.0,444.0
2025-04-29,464.6,226.0,453.0
2025-04-30,453.9,128.0,487.0
2025-05-06,440.3,248.0,554.0
2025-05-07,449.9,620.0,792.0
2025-05-08,441.6,322.0,797.0
2025-05-09,451.7,88.0,795.0
2025-05-12,460.0,94.0,768.0
2025-05-13,460.2,237.0,720.0
2025-05-14,466.4,390.0,599.0
2025-05-15,451.0,342.0,693.0
2025-05-16,448.6,191.0,685.0
2025-05-19,455.9,157.0,685.0
2025-05-20,459.5,279.0,789.0
2025-05-21,462.5,147.0,776.0
2025-05-22,448.7,188.0,802.0
2025-05-23,448.5,74.0,814.0
2025-05-26,451.4,148.0,823.0
2025-05-27,450.3,81.0,818.0
2025-05-28,445.6,97.0,843.0
2025-05-29,454.6,175.0,806.0
2025-05-30,440.6,232.0,914.0
2025-06-03,451.7,134.0,860.0
2025-06-04,456.1,65.0,824.0
2025-06-05,452.7,118.0,865.0
2025-06-06,456.2,87.0,854.0
2025-06-09,463.4,135.0,818.0
2025-06-10,467.3,142.0,802.0
2025-06-11,465.3,157.0,819.0
2025-06-12,479.6,223.0,764.0
2025-06-13,499.5,2319.0,647.0
2025-06-16,508.4,1063.0,839.0
2025-06-17,499.3,680.0,781.0
2025-06-18,523.2,1242.0,831.0
2025-06-19,526.5,553.0,850.0
2025-06-20,524.2,668.0,784.0
2025-06-23,533.8,546.0,841.0
2025-06-24,485.4,4567.0,2312.0
2025-06-25,487.6,4823.0,3550.0
2025-06-26,483.0,2106.0,4194.0
2025-06-27,481.6,966.0,4069.0
2025-06-30,478.5,1114.0,4112.0
2025-07-01,479.9,440.0,4097.0
2025-07-02,479.0,268.0,4072.0
2025-07-03,485.2,503.0,4023.0
2025-07-04,484.9,489.0,4058.0
2025-07-07,483.8,261.0,4069.0
2025-07-08,488.4,1040.0,3903.0
2025-07-09,493.3,417.0,3908.0
2025-07-10,494.3,488.0,3808.0
2025-07-11,488.2,307.0,3808.0
2025-07-14,497.5,674.0,3778.0
2025-07-15,489.7,1079.0,3893.0
2025-07-16,491.3,101.0,3912.0
2025-07-17,489.4,412.0,3939.0
2025-07-18,497.4,422.0,3931.0
2025-07-21,495.6,524.0,3947.0
2025-07-22,491.8,1140.0,4020.0
2025-07-23,490.7,399.0,4053.0
2025-07-24,494.1,241.0,4069.0
2025-07-25,497.5,996.0,4293.0
2025-07-28,492.1,1147.0,4465.0
2025-07-29,501.5,646.0,4527.0
2025-07-30,514.9,1122.0,4406.0
2025-07-31,518.2,1218.0,4260.0
2025-08-01,516.3,1465.0,4260.0
2025-08-04,501.1,1275.0,4140.0
2025-08-05,495.6,1329.0,4427.0
2025-08-06,493.0,741.0,4519.0
2025-08-07,489.0,1515.0,4717.0
2025-08-08,481.2,1869.0,5425.0
2025-08-11,479.6,3796.0,6525.0
2025-08-12,487.0,1210.0,6613.0
2025-08-13,484.5,1715.0,6562.0
2025-08-14,480.8,1944.0,6970.0
2025-08-15,483.6,1654.0,7085.0
2025-08-18,480.4,3197.0,7501.0
2025-08-19,480.6,4872.0,8639.0
2025-08-20,480.1,5476.0,9128.0
2025-08-21,486.7,5518.0,9167.0
2025-08-22,489.7,3684.0,9398.0
2025-08-25,488.4,4403.0,9872.0
2025-08-26,493.1,3634.0,10471.0
2025-08-27,482.7,8908.0,10267.0
2025-08-28,482.6,4119.0,10576.0
2025-08-29,485.0,6353.0,11067.0
2025-09-01,484.2,4697.0,11305.0
2025-09-02,491.5,7084.0,11738.0
2025-09-03,493.6,6852.0,11770.0
2025-09-04,481.4,13384.0,10705.0
