date,open,high,low,close,volume,hold,settle
2022-05-10,467.4,695.0,467.4,607.8,45,10,554.0
2022-05-16,642.0,642.0,636.5,636.5,3,8,640.1
2022-05-17,666.0,666.0,635.0,638.8,3,7,646.6
2022-05-18,647.7,647.7,625.0,625.0,16,6,640.8
2022-05-19,620.0,620.0,620.0,620.0,1,6,620.0
2022-05-20,644.9,644.9,632.1,632.1,44,40,643.7
2022-05-27,642.2,644.0,642.1,643.7,62,1,643.5
2022-07-11,569.7,569.7,569.7,569.7,310,311,569.7
2022-07-12,597.6,597.6,597.6,597.6,1,312,597.6
2022-07-13,571.9,571.9,562.2,562.2,2,311,567.0
2022-07-26,561.9,561.9,561.9,561.9,1,312,561.9
2022-07-28,600.0,600.0,596.5,596.5,31,342,596.6
2022-07-29,589.9,589.9,589.9,589.9,5,347,589.9
2022-08-01,594.9,594.9,594.9,594.9,25,372,594.9
2022-08-17,593.9,593.9,579.0,579.0,36,337,593.4
2022-08-23,599.7,599.7,599.7,599.7,25,312,599.7
2022-08-25,639.0,639.0,638.5,638.5,2,312,638.7
2022-08-26,624.4,624.4,624.4,624.4,1,312,624.4
2022-08-29,617.8,617.8,617.8,617.8,1,313,617.8
2022-09-02,593.8,593.8,593.8,593.8,1,313,593.8
2022-09-07,583.8,583.8,583.8,583.8,1,313,583.8
2022-09-08,571.4,571.4,571.4,571.4,1,313,571.4
2022-09-13,594.0,594.0,589.5,589.5,2,313,591.7
2022-09-29,570.0,570.0,570.0,570.0,50,263,570.0
2022-09-30,572.3,572.3,572.3,572.3,50,213,572.3
2022-10-10,618.8,641.5,618.8,627.0,77,284,624.0
2022-10-11,637.7,638.0,633.8,636.0,36,284,636.7
2022-10-17,609.5,609.5,609.5,609.5,1,285,609.5
2022-10-19,606.9,606.9,598.8,598.8,4,286,602.7
2022-10-20,596.7,596.7,590.8,590.8,2,287,593.7
2022-10-21,614.3,614.3,614.3,614.3,1,286,614.3
2022-10-25,613.2,613.2,612.9,612.9,2,287,613.0
2022-10-27,624.0,632.8,620.0,632.8,25,289,625.5
2022-10-28,633.1,633.1,624.0,624.5,23,305,627.2
2022-10-31,623.9,625.0,615.0,615.1,24,321,620.6
2022-11-01,617.0,627.0,616.6,627.0,7,321,620.4
2022-11-02,633.8,642.3,633.8,635.3,5,320,635.9
2022-11-03,634.6,634.6,620.8,634.4,111,266,630.7
2022-11-04,629.7,642.0,629.7,637.2,6,266,637.3
2022-11-07,643.2,647.2,638.0,642.9,16,262,644.0
2022-11-08,644.1,646.3,641.5,646.3,10,262,644.3
2022-11-09,644.7,648.8,629.7,634.8,32,250,634.9
2022-11-10,630.4,630.4,616.6,616.6,16,252,624.8
2022-11-11,628.0,628.0,618.2,625.6,11,259,623.7
2022-11-14,625.6,638.6,625.6,626.9,28,249,627.8
2022-11-15,632.4,636.0,620.6,623.4,42,238,623.8
2022-11-16,620.9,626.4,618.0,625.0,28,234,623.0
2022-11-17,631.5,631.5,614.5,614.8,26,232,621.2
2022-11-18,616.6,616.6,607.3,607.3,12,233,612.9
2022-11-21,601.7,602.8,587.7,589.5,14,233,590.5
2022-11-22,592.0,596.9,568.5,594.7,27,231,579.1
2022-11-23,596.5,599.0,596.5,599.0,2,231,597.7
2022-11-24,575.7,578.2,571.4,572.0,77,221,576.5
2022-11-25,574.3,580.8,572.1,580.2,9,225,575.6
2022-11-28,580.2,584.6,553.5,558.8,136,252,566.5
2022-11-29,556.7,591.2,554.3,582.4,126,261,576.2
2022-11-30,583.7,590.0,572.2,580.8,140,277,581.4
2022-12-01,590.5,592.1,580.0,581.6,119,289,587.7
2022-12-02,586.7,594.5,577.1,584.3,110,302,587.4
2022-12-05,586.5,588.4,568.9,570.8,127,317,580.2
2022-12-06,571.3,585.6,549.7,556.8,205,311,567.2
2022-12-07,548.0,550.8,528.9,530.5,237,350,539.5
2022-12-08,530.5,540.0,518.9,522.9,649,502,525.8
2022-12-09,528.5,532.1,512.9,516.5,421,594,521.5
2022-12-12,513.5,523.0,512.6,517.0,723,666,518.0
2022-12-13,512.3,538.2,512.3,538.1,1017,747,526.6
2022-12-14,535.3,544.2,532.7,539.0,702,768,539.1
2022-12-15,543.0,552.0,542.1,547.7,713,771,547.9
2022-12-16,548.3,553.1,540.3,545.8,876,825,547.4
2022-12-19,538.3,549.3,530.9,541.8,714,841,539.1
2022-12-20,541.8,552.1,540.1,543.7,508,859,545.5
2022-12-21,543.8,549.5,539.2,549.5,981,930,543.9
2022-12-22,558.4,559.2,552.0,553.8,658,1021,555.6
2022-12-23,559.7,561.1,548.5,552.1,645,1325,554.3
2022-12-26,557.0,569.8,557.0,566.1,751,1422,563.6
2022-12-27,565.0,574.0,563.4,573.0,522,1539,570.8
2022-12-28,573.0,574.3,565.0,565.0,1192,1852,569.5
2022-12-29,564.3,567.8,554.9,560.7,1164,2083,559.9
2022-12-30,560.6,568.9,555.0,568.7,1255,2408,561.7
2023-01-03,572.8,575.3,563.5,570.2,1715,2771,568.0
2023-01-04,567.0,568.6,544.7,546.2,2702,3283,556.5
2023-01-05,535.8,539.5,526.5,527.7,4876,3961,531.5
2023-01-06,530.3,534.6,524.3,531.6,4043,4718,529.3
2023-01-09,527.5,536.7,525.0,528.3,4047,5684,530.1
2023-01-10,535.3,537.1,523.1,525.7,5092,6537,530.7
2023-01-11,527.9,531.8,521.1,523.8,6130,8014,526.2
2023-01-12,528.0,540.9,527.5,537.8,9272,10039,533.7
2023-01-13,542.0,544.0,536.2,542.3,6940,11313,540.5
2023-01-16,543.0,549.0,540.8,546.7,5270,12199,544.3
2023-01-17,548.0,554.0,543.4,550.9,3475,12497,548.6
2023-01-18,556.5,567.3,555.0,564.4,5048,12787,560.8
2023-01-19,568.1,569.4,548.9,553.6,4949,12898,558.3
2023-01-20,556.4,567.3,553.9,567.3,5888,13195,562.4
2023-01-30,565.6,565.7,554.8,557.4,6254,13742,559.3
2023-01-31,558.7,560.1,544.5,544.9,8471,14268,550.6
2023-02-01,543.0,558.0,543.0,555.7,6793,14247,551.5
2023-02-02,555.7,557.5,537.0,538.3,9819,13939,546.5
2023-02-03,534.8,541.6,529.5,534.1,8100,14305,535.1
2023-02-06,535.3,547.8,519.2,521.8,16267,14967,530.0
2023-02-07,523.9,536.7,516.8,534.7,13724,15452,526.1
2023-02-08,533.0,546.8,530.9,546.2,10068,15950,539.4
