date,open,high,low,close,volume,hold,settle
2022-08-12,613.9,613.9,582.7,582.7,2,0,598.3
2022-09-01,598.7,598.7,585.0,585.0,4,4,592.1
2022-09-05,587.7,587.7,587.7,587.7,1,4,587.7
2022-12-05,580.0,580.0,558.8,566.1,5,3,570.1
2022-12-07,551.0,551.0,539.1,539.1,2,2,545.0
2022-12-14,536.0,537.1,536.0,537.1,2,2,536.5
2022-12-15,553.3,553.3,553.3,553.3,2,4,553.3
2022-12-22,555.5,555.5,555.5,555.5,1,4,555.5
2022-12-27,569.1,570.4,569.1,570.4,2,4,569.7
2022-12-29,562.0,562.0,562.0,562.0,1,5,562.0
2023-01-03,563.7,563.8,563.7,563.8,2,5,563.7
2023-01-04,546.9,546.9,543.0,543.0,5,7,545.0
2023-01-05,533.1,535.1,528.5,535.1,3,9,532.2
2023-01-10,530.0,530.0,530.0,530.0,1,10,530.0
2023-01-12,538.3,546.1,538.3,541.3,12,17,543.3
2023-01-13,546.0,546.0,546.0,546.0,2,16,546.0
2023-01-16,550.4,550.4,543.9,543.9,8,20,546.8
2023-01-17,548.1,550.4,540.5,550.3,14,18,546.3
2023-01-18,558.9,561.7,558.7,561.7,5,19,559.4
2023-01-19,562.9,565.1,549.2,551.9,14,16,554.7
2023-01-20,556.0,563.3,556.0,563.3,4,18,561.4
2023-01-31,546.7,546.7,545.0,545.0,2,18,545.8
2023-02-01,541.2,552.4,541.2,552.4,4,19,548.7
2023-02-02,548.9,548.9,548.9,548.9,1,19,548.9
2023-02-03,535.4,535.4,535.4,535.4,5,23,535.4
2023-02-06,534.0,534.0,521.9,522.6,8,29,526.6
2023-02-07,526.5,533.3,521.9,533.3,25,37,529.8
2023-02-08,535.2,544.9,535.2,543.4,5,37,540.8
2023-02-09,547.8,553.3,547.8,551.8,10,30,549.9
2023-02-10,545.5,545.5,545.5,545.5,1,30,545.5
2023-02-13,555.9,555.9,551.3,551.3,10,25,552.9
2023-02-14,558.2,558.2,558.2,558.2,1,26,558.2
2023-02-15,547.7,554.9,547.7,553.9,17,23,552.9
2023-02-16,548.4,558.8,548.4,558.8,10,25,554.0
2023-02-17,557.9,559.0,553.6,554.5,14,29,555.5
2023-02-20,544.4,550.3,542.1,550.3,18,35,544.6
2023-02-21,553.1,554.4,546.1,548.2,27,51,548.2
2023-02-22,547.9,551.0,545.5,545.5,6,52,547.9
2023-02-23,538.0,541.9,537.5,539.0,13,58,538.3
2023-02-24,542.0,549.7,542.0,549.3,17,65,546.6
2023-02-27,553.0,553.0,542.9,546.3,46,74,547.7
2023-02-28,545.7,548.8,542.9,548.8,33,78,545.8
2023-03-01,553.7,555.8,552.3,555.4,64,86,554.0
2023-03-02,548.1,556.3,546.9,556.1,141,126,550.6
2023-03-03,556.1,563.0,556.1,560.7,68,134,559.3
2023-03-06,558.4,566.5,550.0,562.9,100,127,558.9
2023-03-07,561.2,580.5,561.1,575.7,133,143,570.9
2023-03-08,574.3,574.3,559.7,561.1,120,148,564.9
2023-03-09,557.7,562.7,556.3,558.9,108,170,558.2
2023-03-10,560.0,564.8,546.3,547.1,97,179,555.6
2023-03-13,548.0,557.6,547.1,553.6,102,179,552.1
2023-03-14,525.5,546.6,525.5,534.3,138,200,537.6
2023-03-15,532.0,540.3,526.7,529.6,114,211,532.3
2023-03-16,523.5,523.5,496.3,503.0,457,391,512.4
2023-03-17,500.0,514.3,492.2,507.2,262,398,502.0
2023-03-20,500.0,506.2,486.4,486.9,220,413,497.7
2023-03-21,496.2,500.5,491.9,496.8,106,417,495.7
2023-03-22,504.2,510.3,502.7,508.5,104,418,506.2
2023-03-23,510.9,516.9,506.8,511.3,97,407,511.5
2023-03-24,510.9,518.2,505.0,510.6,110,404,511.3
2023-03-27,501.8,512.0,498.6,511.6,2247,414,503.9
2023-03-28,515.3,527.5,513.6,525.3,1388,507,519.7
