date,open,high,low,close,volume,hold,settle
2022-11-02,627.6,627.6,595.2,595.2,2,1,611.4
2022-11-03,610.0,614.6,610.0,614.6,2,2,612.3
2022-11-04,600.0,600.0,600.0,600.0,1,2,600.0
2022-11-08,601.8,601.8,601.8,601.8,1,2,601.8
2022-11-15,584.0,584.0,584.0,584.0,1,2,584.0
2022-11-21,558.0,558.0,558.0,558.0,1,2,558.0
2022-11-24,566.2,566.2,558.8,558.8,2,3,562.5
2022-12-01,565.1,565.1,565.1,565.1,65,68,565.1
2022-12-05,567.3,567.3,567.3,567.3,1,67,567.3
2022-12-06,558.0,561.0,546.1,560.5,5,68,557.2
2022-12-07,541.0,541.0,541.0,541.0,1,67,541.0
2022-12-08,541.0,541.0,541.0,541.0,1,67,541.0
2022-12-19,537.7,537.7,537.7,537.7,1,67,537.7
2022-12-27,555.1,569.7,555.1,569.7,2,68,562.4
2023-01-04,560.0,560.0,560.0,560.0,65,3,560.0
2023-03-09,560.0,560.0,560.0,560.0,1,3,560.0
2023-03-16,518.8,518.8,518.8,518.8,1,4,518.8
2023-03-17,514.5,514.5,514.5,514.5,1,4,514.5
2023-03-24,505.4,505.4,505.4,505.4,1,4,505.4
2023-04-07,573.6,573.6,573.6,573.6,1,5,573.6
2023-04-20,558.5,558.5,558.5,558.5,1,5,558.5
2023-04-26,557.6,558.6,550.0,550.0,4,5,554.8
2023-04-27,544.8,545.0,532.6,532.6,7,7,542.5
2023-04-28,532.0,533.6,532.0,533.6,3,8,532.8
2023-05-04,493.3,501.0,493.3,500.3,13,19,499.1
2023-05-05,497.1,497.1,494.6,494.6,3,20,496.2
2023-05-08,510.8,510.8,510.8,510.8,1,20,510.8
2023-05-09,520.3,521.8,520.3,521.8,3,19,521.2
2023-05-10,521.1,521.1,521.1,521.1,1,18,521.1
2023-05-11,520.3,520.3,520.3,520.3,1,17,520.3
2023-05-12,510.1,510.1,504.7,504.7,3,17,506.8
2023-05-15,507.7,507.7,500.6,500.6,4,17,503.1
2023-05-16,504.7,505.6,504.7,505.6,2,16,505.1
2023-05-17,505.6,509.3,505.6,506.9,4,18,507.7
2023-05-18,506.9,522.0,506.9,521.5,13,22,517.1
2023-05-19,521.5,527.2,519.4,527.2,13,25,522.0
2023-05-22,526.7,526.7,511.0,515.5,24,28,514.9
2023-05-23,514.8,519.4,514.8,519.3,5,26,517.8
2023-05-24,525.0,525.0,525.0,525.0,1,26,525.0
2023-05-25,528.8,532.1,527.6,530.8,7,26,530.2
2023-05-26,526.7,526.7,514.5,521.0,93,59,518.5
2023-05-29,527.2,533.2,524.5,529.8,43,48,527.9
2023-05-30,522.4,535.2,521.9,524.9,22,47,527.8
2023-05-31,512.0,513.4,504.5,505.0,68,69,507.6
2023-06-01,493.5,507.2,493.5,507.2,94,101,501.3
2023-06-02,501.1,519.1,500.5,519.1,169,127,512.8
2023-06-05,522.2,529.5,518.8,527.7,52,128,523.3
2023-06-06,530.9,532.9,523.7,523.7,76,139,527.8
2023-06-07,520.0,527.5,519.5,522.4,70,147,523.5
2023-06-08,530.0,534.1,526.7,532.9,77,154,530.5
2023-06-09,533.0,533.1,514.5,524.1,153,164,525.0
2023-06-12,528.4,528.4,515.1,516.1,98,179,521.0
2023-06-13,508.0,511.8,505.9,509.6,140,205,508.5
2023-06-14,519.0,524.1,516.5,523.4,102,200,519.6
2023-06-15,525.7,526.6,513.9,516.0,176,236,521.2
2023-06-16,518.1,528.7,518.1,527.9,103,247,525.1
2023-06-19,530.1,531.4,523.6,528.3,171,249,528.0
2023-06-20,533.0,535.1,530.3,532.0,88,239,533.0
2023-06-21,532.0,546.8,527.6,541.9,811,410,538.4
2023-06-26,535.9,536.4,529.4,534.7,1092,453,532.5
2023-06-27,533.8,538.9,529.6,534.3,4484,438,534.3
2023-06-28,530.7,534.2,523.0,526.4,5113,466,528.2
2023-06-29,524.0,537.1,523.5,535.9,4188,489,531.2
2023-06-30,535.9,542.3,532.2,538.8,5010,467,537.6
2023-07-03,543.7,547.0,539.5,544.4,2814,603,543.5
2023-07-04,547.1,550.5,540.5,543.6,6869,740,544.9
2023-07-05,547.1,549.8,544.9,547.8,2834,815,547.6
2023-07-06,550.1,556.6,548.9,552.6,5844,850,553.3
2023-07-07,551.1,558.2,546.3,557.1,10660,876,551.3
2023-07-10,556.9,564.0,552.7,560.7,9549,972,559.5
2023-07-11,559.9,564.6,558.3,559.9,10183,935,561.9
2023-07-12,561.8,571.9,561.4,567.8,10505,1122,567.1
2023-07-13,571.8,574.6,569.0,573.3,12214,1225,572.3
2023-07-14,571.4,580.5,570.9,577.5,12437,1202,576.9
2023-07-17,579.9,579.9,565.3,565.8,9911,1165,570.3
2023-07-18,565.6,570.1,564.3,566.9,7973,1534,567.7
2023-07-19,566.7,577.6,566.7,577.3,8304,1534,573.8
2023-07-20,580.0,586.1,573.0,574.6,11531,2043,579.4
2023-07-21,576.0,581.6,569.7,579.0,13513,2850,577.1
2023-07-24,581.6,584.3,578.0,581.9,16168,3361,580.3
2023-07-25,587.6,593.8,583.9,592.1,14269,3640,590.3
2023-07-26,588.2,596.8,587.6,594.4,13627,3980,593.3
